# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 118.80	       0.0 
0.9	  0.0080	 118.75	       103.9 
1.8	  0.0080	 118.61	       207.6 
2.6	  0.0080	 118.36	       310.7 
3.5	  0.0080	 118.02	       413.1 
4.4	  0.0080	 117.57	       514.4 
5.2	  0.0080	 117.02	       614.4 
6.1	  0.0080	 116.37	       712.8 
7.0	  0.0081	 115.63	       809.4 
7.9	  0.0081	 114.78	       903.9 
8.8	  0.0081	 113.85	       996.2 
9.6	  0.0081	 112.83	       1085.9 
10.5	  0.0081	 111.72	       1173.0 
11.4	  0.0081	 110.53	       1257.3 
12.2	  0.0082	 109.27	       1338.5 
13.1	  0.0082	 107.93	       1416.6 
14.0	  0.0082	 106.53	       1491.4 
14.9	  0.0083	 105.06	       1562.8 
15.8	  0.0083	 103.54	       1630.7 
16.6	  0.0084	 101.95	       1694.9 
17.5	  0.0085	 100.30	       1755.3 
18.4	  0.0086	 98.60	       1811.7 
19.2	  0.0087	 96.83	       1864.0 
20.1	  0.0088	 95.00	       1912.0 
21.0	  0.0089	 93.11	       1955.4 
21.9	  0.0091	 91.15	       1994.0 
22.8	  0.0093	 89.12	       2027.5 
23.6	  0.0096	 87.01	       2055.7 
24.5	  0.0099	 84.83	       2078.2 
25.4	  0.0102	 82.55	       2094.8 
26.3	  0.0106	 80.20	       2105.1 
27.1	  0.0111	 77.75	       2109.1 
28.0	  0.0116	 75.23	       2106.6 
28.9	  0.0122	 72.64	       2097.5 
29.8	  0.0129	 69.99	       2082.2 
30.6	  0.0136	 67.30	       2061.0 
31.5	  0.0145	 64.58	       2034.3 
32.4	  0.0155	 61.87	       2002.9 
33.2	  0.0165	 59.18	       1967.6 
34.1	  0.0176	 56.54	       1929.3 
35.0	  0.0188	 53.97	       1889.0 
35.9	  0.0201	 51.50	       1847.6 
36.8	  0.0214	 49.14	       1806.1 
37.6	  0.0227	 46.91	       1765.1 
38.5	  0.0241	 44.81	       1725.3 
39.4	  0.0254	 42.85	       1687.3 
40.2	  0.0267	 41.03	       1651.4 
41.1	  0.0279	 39.34	       1617.7 
42.0	  0.0291	 37.77	       1586.5 
42.9	  0.0301	 36.33	       1557.6 
43.8	  0.0311	 35.00	       1531.0 
44.6	  0.0320	 33.76	       1506.6 
45.5	  0.0328	 32.62	       1484.2 
46.4	  0.0336	 31.56	       1463.5 
47.2	  0.0342	 30.57	       1444.4 
48.1	  0.0347	 29.65	       1426.7 
49.0	  0.0352	 28.78	       1410.2 
49.9	  0.0356	 27.96	       1394.7 
50.8	  0.0360	 27.19	       1380.1 
51.6	  0.0363	 26.46	       1366.2 
52.5	  0.0366	 25.77	       1352.9 
53.4	  0.0368	 25.11	       1340.0 
54.3	  0.0370	 24.47	       1327.5 
55.1	  0.0372	 23.86	       1315.4 
56.0	  0.0373	 23.28	       1303.4 
56.9	  0.0374	 22.71	       1291.6 
57.8	  0.0375	 22.16	       1280.0 
58.6	  0.0376	 21.64	       1268.5 
59.5	  0.0376	 21.13	       1257.0 
60.4	  0.0377	 20.63	       1245.5 
61.3	  0.0378	 20.15	       1234.0 
62.1	  0.0378	 19.68	       1222.5 
63.0	  0.0378	 19.22	       1211.0 
63.9	  0.0379	 18.78	       1199.4 
64.8	  0.0379	 18.34	       1187.8 
65.6	  0.0379	 17.92	       1176.1 
66.5	  0.0379	 17.51	       1164.4 
67.4	  0.0379	 17.11	       1152.5 
68.2	  0.0379	 16.71	       1140.6 
69.1	  0.0379	 16.33	       1128.6 
70.0	  0.0380	 15.95	       1116.6 
70.9	  0.0380	 15.58	       1104.4 
71.8	  0.0380	 15.22	       1092.2 
72.6	  0.0380	 14.87	       1079.9 
73.5	  0.0380	 14.52	       1067.5 
74.4	  0.0380	 14.19	       1055.0 
75.3	  0.0380	 13.85	       1042.5 
76.1	  0.0380	 13.53	       1029.9 
77.0	  0.0380	 13.21	       1017.2 
77.9	  0.0380	 12.90	       1004.4 
78.8	  0.0380	 12.59	       991.5 
79.6	  0.0380	 12.29	       978.6 
80.5	  0.0380	 11.99	       965.6 
81.4	  0.0380	 11.70	       952.5 
82.3	  0.0380	 11.42	       939.3 
83.1	  0.0380	 11.14	       926.1 
84.0	  0.0380	 10.87	       912.8 
84.9	  0.0380	 10.60	       899.4 
85.8	  0.0380	 10.33	       886.0 
86.6	  0.0380	 10.07	       872.4 
87.5	  0.0380	 9.82	       858.8 
88.4	  0.0380	 9.56	       845.2 
89.3	  0.0380	 9.32	       831.4 
90.1	  0.0380	 9.07	       817.6 
91.0	  0.0380	 8.83	       803.8 
91.9	  0.0380	 8.60	       789.8 
92.8	  0.0380	 8.36	       775.8 
93.6	  0.0380	 8.14	       761.7 
94.5	  0.0380	 7.91	       747.6 
95.4	  0.0380	 7.69	       733.3 
96.3	  0.0380	 7.47	       719.0 
97.1	  0.0380	 7.26	       704.6 
98.0	  0.0380	 7.04	       690.2 
98.9	  0.0380	 6.83	       675.7 
99.8	  0.0380	 6.63	       661.1 
100.6	  0.0380	 6.42	       646.4 
101.5	  0.0380	 6.22	       631.6 
102.4	  0.0380	 6.02	       616.8 
103.3	  0.0380	 5.83	       601.9 
104.1	  0.0380	 5.64	       586.9 
105.0	  0.0380	 5.45	       571.8 
105.9	  0.0380	 5.26	       556.7 
106.8	  0.0380	 5.07	       541.5 
107.6	  0.0380	 4.89	       526.2 
108.5	  0.0380	 4.71	       510.9 
109.4	  0.0380	 4.53	       495.5 
110.2	  0.0380	 4.35	       480.0 
111.1	  0.0380	 4.18	       464.5 
112.0	  0.0380	 4.01	       448.9 
112.9	  0.0380	 3.84	       433.3 
113.8	  0.0380	 3.67	       417.6 
114.6	  0.0380	 3.51	       401.9 
115.5	  0.0380	 3.34	       386.2 
116.4	  0.0380	 3.18	       370.5 
117.2	  0.0380	 3.03	       354.9 
118.1	  0.0380	 2.87	       339.2 
119.0	  0.0380	 2.72	       323.6 
119.9	  0.0380	 2.57	       308.0 
120.8	  0.0380	 2.42	       292.6 
121.6	  0.0380	 2.28	       277.2 
122.5	  0.0380	 2.14	       262.0 
123.4	  0.0380	 2.00	       246.9 
124.3	  0.0380	 1.87	       232.0 
125.1	  0.0380	 1.74	       217.3 
126.0	  0.0380	 1.61	       202.8 
126.9	  0.0380	 1.49	       188.6 
127.8	  0.0380	 1.37	       174.7 
128.6	  0.0380	 1.25	       161.0 
129.5	  0.0380	 1.14	       147.6 
130.4	  0.0380	 1.03	       134.6 
131.3	  0.0380	 0.93	       121.9 
132.1	  0.0380	 0.83	       109.4 
133.0	  0.0380	 0.73	       97.3 
133.9	  0.0380	 0.64	       85.4 
134.8	  0.0380	 0.55	       73.8 
135.6	  0.0380	 0.46	       62.3 
136.5	  0.0380	 0.37	       50.7 
137.4	  0.0380	 0.28	       39.1 
138.2	  0.0380	 0.20	       27.0 
139.1	  0.0380	 0.10	       14.1 
140.0	  0.0380	 0.00	       0.0 
