# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 118.80	       0.0 
0.9	  0.0080	 118.73	       103.9 
1.8	  0.0080	 118.52	       207.4 
2.6	  0.0080	 118.17	       310.2 
3.5	  0.0080	 117.68	       411.9 
4.4	  0.0080	 117.05	       512.1 
5.2	  0.0080	 116.27	       610.4 
6.1	  0.0080	 115.37	       706.6 
7.0	  0.0081	 114.33	       800.3 
7.9	  0.0081	 113.18	       891.3 
8.8	  0.0081	 111.91	       979.2 
9.6	  0.0081	 110.54	       1064.0 
10.5	  0.0081	 109.08	       1145.3 
11.4	  0.0081	 107.53	       1223.1 
12.2	  0.0082	 105.90	       1297.3 
13.1	  0.0082	 104.21	       1367.8 
14.0	  0.0082	 102.46	       1434.4 
14.9	  0.0083	 100.65	       1497.1 
15.8	  0.0083	 98.79	       1555.9 
16.6	  0.0084	 96.88	       1610.7 
17.5	  0.0085	 94.94	       1661.4 
18.4	  0.0086	 92.95	       1707.9 
19.2	  0.0087	 90.91	       1750.1 
20.1	  0.0088	 88.84	       1787.9 
21.0	  0.0089	 86.72	       1821.1 
21.9	  0.0091	 84.55	       1849.5 
22.8	  0.0093	 82.33	       1873.0 
23.6	  0.0096	 80.06	       1891.3 
24.5	  0.0099	 77.72	       1904.3 
25.4	  0.0102	 75.33	       1911.6 
26.3	  0.0106	 72.88	       1913.2 
27.1	  0.0111	 70.38	       1909.0 
28.0	  0.0116	 67.82	       1899.0 
28.9	  0.0122	 65.22	       1883.2 
29.8	  0.0129	 62.59	       1862.1 
30.6	  0.0136	 59.95	       1835.9 
31.5	  0.0145	 57.31	       1805.3 
32.4	  0.0155	 54.70	       1771.0 
33.2	  0.0165	 52.14	       1733.7 
34.1	  0.0176	 49.65	       1694.4 
35.0	  0.0188	 47.25	       1653.8 
35.9	  0.0201	 44.96	       1612.8 
36.8	  0.0214	 42.78	       1572.3 
37.6	  0.0227	 40.74	       1532.8 
38.5	  0.0241	 38.83	       1494.8 
39.4	  0.0254	 37.05	       1458.8 
40.2	  0.0267	 35.40	       1425.0 
41.1	  0.0279	 33.89	       1393.6 
42.0	  0.0291	 32.49	       1364.5 
42.9	  0.0301	 31.20	       1337.8 
43.8	  0.0311	 30.02	       1313.2 
44.6	  0.0320	 28.92	       1290.7 
45.5	  0.0328	 27.92	       1270.1 
46.4	  0.0336	 26.98	       1251.2 
47.2	  0.0342	 26.11	       1233.8 
48.1	  0.0347	 25.30	       1217.6 
49.0	  0.0352	 24.54	       1202.6 
49.9	  0.0356	 23.83	       1188.5 
50.8	  0.0360	 23.16	       1175.2 
51.6	  0.0363	 22.52	       1162.6 
52.5	  0.0366	 21.91	       1150.5 
53.4	  0.0368	 21.34	       1138.9 
54.3	  0.0370	 20.79	       1127.7 
55.1	  0.0372	 20.26	       1116.8 
56.0	  0.0373	 19.75	       1106.1 
56.9	  0.0374	 19.26	       1095.5 
57.8	  0.0375	 18.79	       1085.2 
58.6	  0.0376	 18.34	       1074.9 
59.5	  0.0376	 17.89	       1064.7 
60.4	  0.0377	 17.47	       1054.5 
61.3	  0.0378	 17.05	       1044.4 
62.1	  0.0378	 16.65	       1034.3 
63.0	  0.0378	 16.26	       1024.1 
63.9	  0.0379	 15.87	       1014.0 
64.8	  0.0379	 15.50	       1003.8 
65.6	  0.0379	 15.14	       993.6 
66.5	  0.0379	 14.79	       983.3 
67.4	  0.0379	 14.44	       973.0 
68.2	  0.0379	 14.10	       962.6 
69.1	  0.0379	 13.78	       952.2 
70.0	  0.0380	 13.45	       941.8 
70.9	  0.0380	 13.14	       931.3 
71.8	  0.0380	 12.83	       920.7 
72.6	  0.0380	 12.53	       910.1 
73.5	  0.0380	 12.24	       899.4 
74.4	  0.0380	 11.95	       888.7 
75.3	  0.0380	 11.67	       877.9 
76.1	  0.0380	 11.39	       867.0 
77.0	  0.0380	 11.12	       856.2 
77.9	  0.0380	 10.85	       845.2 
78.8	  0.0380	 10.59	       834.2 
79.6	  0.0380	 10.34	       823.1 
80.5	  0.0380	 10.09	       812.0 
81.4	  0.0380	 9.84	       800.9 
82.3	  0.0380	 9.60	       789.6 
83.1	  0.0380	 9.36	       778.4 
84.0	  0.0380	 9.13	       767.1 
84.9	  0.0380	 8.90	       755.7 
85.8	  0.0380	 8.68	       744.3 
86.6	  0.0380	 8.46	       732.8 
87.5	  0.0380	 8.24	       721.3 
88.4	  0.0380	 8.03	       709.7 
89.3	  0.0380	 7.82	       698.1 
90.1	  0.0380	 7.62	       686.5 
91.0	  0.0380	 7.41	       674.7 
91.9	  0.0380	 7.22	       663.0 
92.8	  0.0380	 7.02	       651.2 
93.6	  0.0380	 6.83	       639.3 
94.5	  0.0380	 6.64	       627.4 
95.4	  0.0380	 6.45	       615.4 
96.3	  0.0380	 6.27	       603.4 
97.1	  0.0380	 6.09	       591.3 
98.0	  0.0380	 5.91	       579.2 
98.9	  0.0380	 5.74	       567.1 
99.8	  0.0380	 5.56	       554.8 
100.6	  0.0380	 5.39	       542.5 
101.5	  0.0380	 5.22	       530.2 
102.4	  0.0380	 5.06	       517.8 
103.3	  0.0380	 4.89	       505.4 
104.1	  0.0380	 4.73	       492.9 
105.0	  0.0380	 4.57	       480.4 
105.9	  0.0380	 4.42	       467.8 
106.8	  0.0380	 4.26	       455.1 
107.6	  0.0380	 4.11	       442.4 
108.5	  0.0380	 3.96	       429.7 
109.4	  0.0380	 3.81	       416.9 
110.2	  0.0380	 3.66	       404.1 
111.1	  0.0380	 3.52	       391.2 
112.0	  0.0380	 3.38	       378.3 
112.9	  0.0380	 3.24	       365.3 
113.8	  0.0380	 3.10	       352.4 
114.6	  0.0380	 2.96	       339.4 
115.5	  0.0380	 2.83	       326.4 
116.4	  0.0380	 2.69	       313.4 
117.2	  0.0380	 2.56	       300.4 
118.1	  0.0380	 2.43	       287.4 
119.0	  0.0380	 2.31	       274.5 
119.9	  0.0380	 2.18	       261.6 
120.8	  0.0380	 2.06	       248.7 
121.6	  0.0380	 1.94	       236.0 
122.5	  0.0380	 1.82	       223.3 
123.4	  0.0380	 1.71	       210.7 
124.3	  0.0380	 1.60	       198.3 
125.1	  0.0380	 1.49	       186.0 
126.0	  0.0380	 1.38	       173.8 
126.9	  0.0380	 1.28	       161.8 
127.8	  0.0380	 1.17	       150.0 
128.6	  0.0380	 1.08	       138.5 
129.5	  0.0380	 0.98	       127.1 
130.4	  0.0380	 0.89	       116.0 
131.3	  0.0380	 0.80	       105.1 
132.1	  0.0380	 0.71	       94.4 
133.0	  0.0380	 0.63	       83.9 
133.9	  0.0380	 0.55	       73.7 
134.8	  0.0380	 0.47	       63.5 
135.6	  0.0380	 0.39	       53.5 
136.5	  0.0380	 0.32	       43.5 
137.4	  0.0380	 0.24	       33.3 
138.2	  0.0380	 0.17	       22.9 
139.1	  0.0380	 0.09	       11.9 
140.0	  0.0380	 0.00	       0.0 
