# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 120.00	       0.0 
0.8	  0.0080	 119.90	       97.4 
1.6	  0.0080	 119.61	       194.4 
2.4	  0.0080	 119.12	       290.4 
3.3	  0.0080	 118.44	       384.9 
4.1	  0.0080	 117.56	       477.6 
4.9	  0.0080	 116.51	       568.0 
5.7	  0.0080	 115.28	       655.7 
6.5	  0.0080	 113.90	       740.4 
7.3	  0.0080	 112.38	       821.8 
8.1	  0.0080	 110.74	       899.8 
8.9	  0.0081	 108.99	       974.1 
9.8	  0.0081	 107.15	       1044.7 
10.6	  0.0081	 105.23	       1111.5 
11.4	  0.0081	 103.25	       1174.5 
12.2	  0.0081	 101.23	       1233.7 
13.0	  0.0081	 99.17	       1289.1 
13.8	  0.0081	 97.08	       1340.9 
14.6	  0.0082	 94.97	       1388.9 
15.4	  0.0082	 92.85	       1433.4 
16.2	  0.0083	 90.72	       1474.3 
17.1	  0.0083	 88.59	       1511.6 
17.9	  0.0084	 86.46	       1545.5 
18.7	  0.0084	 84.33	       1576.0 
19.5	  0.0085	 82.20	       1602.9 
20.3	  0.0086	 80.07	       1626.4 
21.1	  0.0087	 77.93	       1646.3 
21.9	  0.0088	 75.79	       1662.6 
22.8	  0.0090	 73.64	       1675.3 
23.6	  0.0092	 71.48	       1684.2 
24.4	  0.0094	 69.30	       1689.2 
25.2	  0.0096	 67.11	       1690.3 
26.0	  0.0099	 64.90	       1687.4 
26.8	  0.0102	 62.68	       1680.6 
27.6	  0.0106	 60.45	       1670.0 
28.4	  0.0110	 58.22	       1655.6 
29.2	  0.0115	 55.99	       1637.8 
30.1	  0.0120	 53.78	       1616.9 
30.9	  0.0125	 51.60	       1593.3 
31.7	  0.0131	 49.47	       1567.5 
32.5	  0.0138	 47.39	       1540.1 
33.3	  0.0144	 45.38	       1511.7 
34.1	  0.0151	 43.45	       1482.9 
34.9	  0.0159	 41.62	       1454.1 
35.8	  0.0166	 39.88	       1425.8 
36.6	  0.0173	 38.25	       1398.5 
37.4	  0.0180	 36.72	       1372.3 
38.2	  0.0186	 35.29	       1347.5 
39.0	  0.0192	 33.96	       1324.3 
39.8	  0.0198	 32.72	       1302.5 
40.6	  0.0203	 31.56	       1282.3 
41.4	  0.0208	 30.49	       1263.5 
42.2	  0.0212	 29.49	       1246.0 
43.1	  0.0216	 28.56	       1229.8 
43.9	  0.0220	 27.68	       1214.6 
44.7	  0.0223	 26.86	       1200.4 
45.5	  0.0225	 26.09	       1187.1 
46.3	  0.0227	 25.36	       1174.4 
47.1	  0.0229	 24.67	       1162.4 
47.9	  0.0231	 24.01	       1150.9 
48.8	  0.0232	 23.38	       1139.7 
49.6	  0.0234	 22.78	       1128.9 
50.4	  0.0235	 22.20	       1118.4 
51.2	  0.0235	 21.65	       1108.1 
52.0	  0.0236	 21.11	       1098.0 
52.8	  0.0237	 20.60	       1087.9 
53.6	  0.0237	 20.10	       1078.0 
54.4	  0.0238	 19.62	       1068.1 
55.2	  0.0238	 19.15	       1058.2 
56.1	  0.0238	 18.70	       1048.4 
56.9	  0.0239	 18.26	       1038.6 
57.7	  0.0239	 17.83	       1028.7 
58.5	  0.0239	 17.42	       1018.8 
59.3	  0.0239	 17.01	       1008.9 
60.1	  0.0239	 16.61	       998.9 
60.9	  0.0239	 16.23	       988.9 
61.8	  0.0240	 15.85	       978.8 
62.6	  0.0240	 15.48	       968.7 
63.4	  0.0240	 15.12	       958.5 
64.2	  0.0240	 14.77	       948.3 
65.0	  0.0240	 14.43	       938.0 
65.8	  0.0240	 14.09	       927.6 
66.6	  0.0240	 13.77	       917.2 
67.4	  0.0240	 13.44	       906.7 
68.2	  0.0240	 13.13	       896.1 
69.1	  0.0240	 12.82	       885.5 
69.9	  0.0240	 12.52	       874.8 
70.7	  0.0240	 12.22	       864.1 
71.5	  0.0240	 11.93	       853.3 
72.3	  0.0240	 11.65	       842.5 
73.1	  0.0240	 11.37	       831.5 
73.9	  0.0240	 11.10	       820.6 
74.8	  0.0240	 10.83	       809.6 
75.6	  0.0240	 10.57	       798.5 
76.4	  0.0240	 10.31	       787.4 
77.2	  0.0240	 10.06	       776.2 
78.0	  0.0240	 9.81	       764.9 
78.8	  0.0240	 9.56	       753.6 
79.6	  0.0240	 9.32	       742.3 
80.4	  0.0240	 9.09	       730.9 
81.2	  0.0240	 8.85	       719.4 
82.1	  0.0240	 8.63	       707.9 
82.9	  0.0240	 8.40	       696.4 
83.7	  0.0240	 8.18	       684.8 
84.5	  0.0240	 7.97	       673.1 
85.3	  0.0240	 7.75	       661.4 
86.1	  0.0240	 7.54	       649.6 
86.9	  0.0240	 7.34	       637.8 
87.8	  0.0240	 7.13	       625.9 
88.6	  0.0240	 6.93	       614.0 
89.4	  0.0240	 6.74	       602.0 
90.2	  0.0240	 6.54	       590.0 
91.0	  0.0240	 6.35	       577.9 
91.8	  0.0240	 6.16	       565.7 
92.6	  0.0240	 5.98	       553.5 
93.4	  0.0240	 5.79	       541.3 
