# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 115.20	       0.0 
0.7	  0.0080	 115.19	       79.2 
1.4	  0.0080	 115.16	       158.3 
2.1	  0.0080	 115.11	       237.4 
2.8	  0.0080	 115.04	       316.4 
3.4	  0.0080	 114.95	       395.2 
4.1	  0.0080	 114.84	       473.7 
4.8	  0.0080	 114.71	       552.0 
5.5	  0.0080	 114.55	       630.0 
6.2	  0.0080	 114.37	       707.6 
6.9	  0.0080	 114.16	       784.9 
7.6	  0.0080	 113.93	       861.6 
8.2	  0.0080	 113.68	       937.8 
8.9	  0.0080	 113.40	       1013.5 
9.6	  0.0080	 113.09	       1088.5 
10.3	  0.0080	 112.76	       1162.8 
11.0	  0.0080	 112.40	       1236.4 
11.7	  0.0080	 112.02	       1309.2 
12.4	  0.0080	 111.61	       1381.1 
13.1	  0.0080	 111.17	       1452.1 
13.8	  0.0080	 110.70	       1522.2 
14.4	  0.0080	 110.21	       1591.2 
15.1	  0.0080	 109.70	       1659.2 
15.8	  0.0080	 109.15	       1726.0 
16.5	  0.0080	 108.58	       1791.6 
17.2	  0.0081	 107.99	       1856.0 
17.9	  0.0081	 107.36	       1919.1 
18.6	  0.0081	 106.71	       1980.8 
19.2	  0.0081	 106.03	       2041.1 
19.9	  0.0081	 105.33	       2100.0 
20.6	  0.0081	 104.59	       2157.3 
21.3	  0.0081	 103.83	       2212.9 
22.0	  0.0082	 103.04	       2266.9 
22.7	  0.0082	 102.22	       2319.1 
23.4	  0.0082	 101.37	       2369.5 
24.1	  0.0083	 100.48	       2417.8 
24.8	  0.0084	 99.56	       2464.0 
25.4	  0.0084	 98.59	       2508.0 
26.1	  0.0085	 97.59	       2549.5 
26.8	  0.0086	 96.53	       2588.3 
27.5	  0.0087	 95.43	       2624.2 
28.2	  0.0089	 94.26	       2657.0 
28.9	  0.0090	 93.03	       2686.3 
29.6	  0.0092	 91.73	       2711.7 
30.2	  0.0094	 90.35	       2733.0 
30.9	  0.0097	 88.87	       2749.5 
31.6	  0.0100	 87.30	       2760.9 
32.3	  0.0104	 85.62	       2766.7 
33.0	  0.0108	 83.83	       2766.5 
33.7	  0.0113	 81.93	       2759.9 
34.4	  0.0119	 79.90	       2746.6 
35.1	  0.0126	 77.76	       2726.3 
35.8	  0.0134	 75.50	       2699.2 
36.4	  0.0143	 73.15	       2665.3 
37.1	  0.0153	 70.71	       2625.0 
37.8	  0.0164	 68.21	       2579.1 
38.5	  0.0177	 65.67	       2528.2 
39.2	  0.0190	 63.12	       2473.5 
39.9	  0.0205	 60.59	       2416.0 
40.6	  0.0221	 58.10	       2356.8 
41.2	  0.0238	 55.69	       2297.1 
41.9	  0.0255	 53.36	       2237.9 
42.6	  0.0273	 51.15	       2180.1 
43.3	  0.0291	 49.05	       2124.5 
44.0	  0.0308	 47.08	       2071.6 
44.7	  0.0326	 45.24	       2021.7 
45.4	  0.0342	 43.53	       1975.2 
46.1	  0.0358	 41.94	       1931.9 
46.8	  0.0372	 40.47	       1892.0 
47.4	  0.0386	 39.11	       1855.1 
48.1	  0.0398	 37.84	       1821.2 
48.8	  0.0409	 36.67	       1789.9 
49.5	  0.0419	 35.58	       1761.0 
50.2	  0.0428	 34.55	       1734.2 
50.9	  0.0435	 33.60	       1709.2 
51.6	  0.0442	 32.69	       1685.7 
52.2	  0.0448	 31.84	       1663.6 
52.9	  0.0453	 31.03	       1642.6 
53.6	  0.0457	 30.26	       1622.6 
54.3	  0.0460	 29.52	       1603.3 
55.0	  0.0463	 28.81	       1584.6 
55.7	  0.0466	 28.13	       1566.3 
56.4	  0.0468	 27.47	       1548.5 
57.1	  0.0470	 26.83	       1530.9 
57.8	  0.0472	 26.21	       1513.6 
58.4	  0.0473	 25.61	       1496.4 
59.1	  0.0474	 25.02	       1479.2 
59.8	  0.0475	 24.45	       1462.1 
60.5	  0.0476	 23.88	       1445.0 
61.2	  0.0477	 23.34	       1427.9 
61.9	  0.0477	 22.80	       1410.7 
62.6	  0.0478	 22.27	       1393.4 
63.2	  0.0478	 21.76	       1376.0 
63.9	  0.0478	 21.25	       1358.5 
64.6	  0.0479	 20.75	       1340.9 
