# rho	    A	        veq	       Qeq	  
0.0	  0.0150	 120.00	       0.0 
0.8	  0.0150	 119.92	       97.4 
1.6	  0.0150	 119.69	       194.5 
2.4	  0.0150	 119.30	       290.8 
3.3	  0.0150	 118.74	       385.9 
4.1	  0.0150	 118.04	       479.5 
4.9	  0.0150	 117.18	       571.2 
5.7	  0.0150	 116.18	       660.7 
6.5	  0.0150	 115.04	       747.7 
7.3	  0.0150	 113.77	       832.0 
8.1	  0.0150	 112.39	       913.2 
8.9	  0.0150	 110.91	       991.3 
9.8	  0.0150	 109.34	       1066.1 
10.6	  0.0150	 107.70	       1137.6 
11.4	  0.0151	 105.98	       1205.6 
12.2	  0.0151	 104.22	       1270.1 
13.0	  0.0151	 102.40	       1331.3 
13.8	  0.0151	 100.56	       1389.0 
14.6	  0.0151	 98.69	       1443.3 
15.4	  0.0151	 96.80	       1494.3 
16.2	  0.0152	 94.89	       1542.0 
17.1	  0.0152	 92.99	       1586.6 
17.9	  0.0152	 91.08	       1628.0 
18.7	  0.0153	 89.17	       1666.3 
19.5	  0.0153	 87.26	       1701.7 
20.3	  0.0154	 85.37	       1734.0 
21.1	  0.0154	 83.48	       1763.5 
21.9	  0.0155	 81.60	       1790.1 
22.8	  0.0156	 79.73	       1813.8 
23.6	  0.0157	 77.86	       1834.7 
24.4	  0.0159	 76.01	       1852.6 
25.2	  0.0160	 74.15	       1867.8 
26.0	  0.0162	 72.31	       1880.0 
26.8	  0.0164	 70.46	       1889.3 
27.6	  0.0166	 68.63	       1895.8 
28.4	  0.0169	 66.79	       1899.4 
29.2	  0.0172	 64.96	       1900.2 
30.1	  0.0175	 63.14	       1898.2 
30.9	  0.0178	 61.34	       1893.7 
31.7	  0.0182	 59.55	       1886.8 
32.5	  0.0186	 57.78	       1877.8 
33.3	  0.0190	 56.04	       1867.0 
34.1	  0.0195	 54.35	       1854.6 
34.9	  0.0199	 52.69	       1840.9 
35.8	  0.0204	 51.09	       1826.5 
36.6	  0.0208	 49.54	       1811.4 
37.4	  0.0212	 48.06	       1796.2 
38.2	  0.0216	 46.63	       1780.8 
39.0	  0.0220	 45.27	       1765.7 
39.8	  0.0224	 43.98	       1750.8 
40.6	  0.0227	 42.74	       1736.3 
41.4	  0.0230	 41.56	       1722.2 
42.2	  0.0233	 40.44	       1708.6 
43.1	  0.0235	 39.37	       1695.4 
43.9	  0.0237	 38.35	       1682.6 
44.7	  0.0239	 37.37	       1670.1 
45.5	  0.0241	 36.44	       1658.0 
46.3	  0.0242	 35.54	       1646.1 
47.1	  0.0243	 34.68	       1634.3 
47.9	  0.0244	 33.85	       1622.7 
48.8	  0.0245	 33.05	       1611.2 
49.6	  0.0246	 32.28	       1599.7 
50.4	  0.0247	 31.53	       1588.3 
51.2	  0.0247	 30.80	       1576.8 
52.0	  0.0248	 30.10	       1565.2 
52.8	  0.0248	 29.42	       1553.6 
53.6	  0.0248	 28.75	       1541.8 
54.4	  0.0249	 28.10	       1529.9 
55.2	  0.0249	 27.47	       1518.0 
56.1	  0.0249	 26.86	       1505.8 
56.9	  0.0249	 26.26	       1493.5 
57.7	  0.0249	 25.67	       1481.1 
58.5	  0.0249	 25.10	       1468.5 
59.3	  0.0250	 24.54	       1455.8 
60.1	  0.0250	 24.00	       1442.9 
60.9	  0.0250	 23.46	       1429.8 
61.8	  0.0250	 22.94	       1416.6 
62.6	  0.0250	 22.43	       1403.2 
63.4	  0.0250	 21.93	       1389.7 
64.2	  0.0250	 21.44	       1376.0 
65.0	  0.0250	 20.96	       1362.2 
65.8	  0.0250	 20.48	       1348.2 
