# rho	    A	        veq	       Qeq	  
0.0	  0.0100	 120.00	       0.0 
0.8	  0.0100	 119.96	       97.5 
1.6	  0.0100	 119.83	       194.7 
2.4	  0.0100	 119.62	       291.6 
3.3	  0.0100	 119.32	       387.8 
4.1	  0.0100	 118.93	       483.2 
4.9	  0.0100	 118.46	       577.5 
5.7	  0.0100	 117.89	       670.5 
6.5	  0.0100	 117.24	       762.1 
7.3	  0.0100	 116.51	       851.9 
8.1	  0.0100	 115.69	       940.0 
8.9	  0.0100	 114.79	       1026.0 
9.8	  0.0100	 113.83	       1109.8 
10.6	  0.0100	 112.79	       1191.3 
11.4	  0.0100	 111.68	       1270.4 
12.2	  0.0100	 110.52	       1346.9 
13.0	  0.0100	 109.30	       1420.8 
13.8	  0.0100	 108.02	       1492.1 
14.6	  0.0100	 106.70	       1560.5 
15.4	  0.0100	 105.34	       1626.2 
16.2	  0.0101	 103.94	       1689.1 
17.1	  0.0101	 102.51	       1749.0 
17.9	  0.0101	 101.04	       1806.0 
18.7	  0.0101	 99.54	       1860.1 
19.5	  0.0101	 98.01	       1911.2 
20.3	  0.0102	 96.45	       1959.2 
21.1	  0.0102	 94.86	       2004.0 
21.9	  0.0103	 93.24	       2045.4 
22.8	  0.0104	 91.57	       2083.3 
23.6	  0.0105	 89.86	       2117.4 
24.4	  0.0107	 88.09	       2147.3 
25.2	  0.0108	 86.25	       2172.5 
26.0	  0.0111	 84.33	       2192.6 
26.8	  0.0114	 82.30	       2206.8 
27.6	  0.0118	 80.15	       2214.3 
28.4	  0.0122	 77.86	       2214.2 
29.2	  0.0128	 75.41	       2205.6 
30.1	  0.0136	 72.77	       2187.8 
30.9	  0.0146	 69.96	       2159.9 
31.7	  0.0157	 66.96	       2121.8 
32.5	  0.0172	 63.80	       2073.6 
33.3	  0.0189	 60.52	       2016.2 
34.1	  0.0209	 57.17	       1951.0 
34.9	  0.0234	 53.81	       1880.1 
35.8	  0.0261	 50.51	       1805.7 
36.6	  0.0292	 47.33	       1730.5 
37.4	  0.0327	 44.33	       1656.8 
38.2	  0.0363	 41.55	       1586.6 
39.0	  0.0400	 39.01	       1521.4 
39.8	  0.0437	 36.73	       1462.3 
40.6	  0.0473	 34.70	       1409.6 
41.4	  0.0508	 32.90	       1363.2 
42.2	  0.0539	 31.31	       1323.0 
43.1	  0.0566	 29.92	       1288.3 
43.9	  0.0591	 28.68	       1258.4 
44.7	  0.0611	 27.58	       1232.6 
45.5	  0.0628	 26.60	       1210.3 
46.3	  0.0643	 25.71	       1190.9 
47.1	  0.0654	 24.91	       1173.7 
47.9	  0.0664	 24.16	       1158.4 
48.8	  0.0672	 23.48	       1144.5 
49.6	  0.0678	 22.83	       1131.7 
50.4	  0.0682	 22.23	       1119.8 
51.2	  0.0686	 21.66	       1108.5 
52.0	  0.0689	 21.11	       1097.7 
52.8	  0.0692	 20.59	       1087.3 
53.6	  0.0693	 20.09	       1077.1 
54.4	  0.0695	 19.60	       1067.1 
55.2	  0.0696	 19.14	       1057.2 
56.1	  0.0697	 18.68	       1047.4 
56.9	  0.0698	 18.24	       1037.6 
57.7	  0.0698	 17.82	       1027.8 
58.5	  0.0699	 17.40	       1018.0 
59.3	  0.0699	 17.00	       1008.1 
60.1	  0.0699	 16.60	       998.3 
60.9	  0.0699	 16.22	       988.3 
61.8	  0.0699	 15.84	       978.3 
62.6	  0.0700	 15.48	       968.2 
63.4	  0.0700	 15.12	       958.1 
64.2	  0.0700	 14.77	       947.9 
65.0	  0.0700	 14.43	       937.7 
65.8	  0.0700	 14.09	       927.3 
66.6	  0.0700	 13.76	       917.0 
67.4	  0.0700	 13.44	       906.5 
68.2	  0.0700	 13.13	       896.0 
69.1	  0.0700	 12.82	       885.4 
69.9	  0.0700	 12.52	       874.7 
70.7	  0.0700	 12.22	       864.0 
71.5	  0.0700	 11.93	       853.2 
72.3	  0.0700	 11.65	       842.4 
73.1	  0.0700	 11.37	       831.5 
73.9	  0.0700	 11.10	       820.5 
74.8	  0.0700	 10.83	       809.5 
75.6	  0.0700	 10.57	       798.5 
76.4	  0.0700	 10.31	       787.3 
77.2	  0.0700	 10.06	       776.2 
78.0	  0.0700	 9.81	       764.9 
78.8	  0.0700	 9.56	       753.6 
79.6	  0.0700	 9.32	       742.3 
80.4	  0.0700	 9.09	       730.9 
81.2	  0.0700	 8.85	       719.4 
82.1	  0.0700	 8.63	       707.9 
82.9	  0.0700	 8.40	       696.4 
83.7	  0.0700	 8.18	       684.8 
84.5	  0.0700	 7.97	       673.1 
85.3	  0.0700	 7.75	       661.4 
86.1	  0.0700	 7.54	       649.6 
86.9	  0.0700	 7.34	       637.8 
87.8	  0.0700	 7.13	       625.9 
88.6	  0.0700	 6.93	       614.0 
89.4	  0.0700	 6.74	       602.0 
90.2	  0.0700	 6.54	       590.0 
91.0	  0.0700	 6.35	       577.9 
91.8	  0.0700	 6.16	       565.7 
92.6	  0.0700	 5.98	       553.5 
93.4	  0.0700	 5.79	       541.3 
94.2	  0.0700	 5.61	       528.9 
95.1	  0.0700	 5.43	       516.6 
95.9	  0.0700	 5.26	       504.1 
96.7	  0.0700	 5.08	       491.6 
97.5	  0.0700	 4.91	       479.1 
98.3	  0.0700	 4.74	       466.5 
99.1	  0.0700	 4.58	       453.8 
99.9	  0.0700	 4.41	       441.1 
100.8	  0.0700	 4.25	       428.4 
101.6	  0.0700	 4.09	       415.6 
102.4	  0.0700	 3.93	       402.7 
103.2	  0.0700	 3.78	       389.8 
104.0	  0.0700	 3.62	       376.9 
104.8	  0.0700	 3.47	       363.9 
105.6	  0.0700	 3.32	       350.9 
106.4	  0.0700	 3.17	       337.9 
107.2	  0.0700	 3.03	       324.9 
108.1	  0.0700	 2.89	       311.9 
108.9	  0.0700	 2.74	       298.8 
109.7	  0.0700	 2.61	       285.8 
110.5	  0.0700	 2.47	       272.9 
111.3	  0.0700	 2.34	       260.0 
112.1	  0.0700	 2.20	       247.1 
112.9	  0.0700	 2.07	       234.3 
113.7	  0.0700	 1.95	       221.6 
114.6	  0.0700	 1.82	       209.1 
115.4	  0.0700	 1.70	       196.6 
116.2	  0.0700	 1.59	       184.3 
117.0	  0.0700	 1.47	       172.2 
117.8	  0.0700	 1.36	       160.3 
118.6	  0.0700	 1.25	       148.5 
119.4	  0.0700	 1.15	       137.0 
120.3	  0.0700	 1.05	       125.7 
121.1	  0.0700	 0.95	       114.7 
121.9	  0.0700	 0.85	       103.9 
122.7	  0.0700	 0.76	       93.3 
123.5	  0.0700	 0.67	       83.0 
124.3	  0.0700	 0.59	       72.8 
125.1	  0.0700	 0.50	       62.9 
125.9	  0.0700	 0.42	       53.0 
126.8	  0.0700	 0.34	       43.1 
127.6	  0.0700	 0.26	       33.1 
128.4	  0.0700	 0.18	       22.7 
129.2	  0.0700	 0.09	       11.9 
130.0	  0.0700	 0.00	       0.0 
