# rho	    A	        veq	       Qeq	  
0.0	  0.0200	 120.00	       0.0 
0.8	  0.0200	 119.94	       97.5 
1.6	  0.0201	 119.77	       194.6 
2.4	  0.0201	 119.47	       291.2 
3.3	  0.0201	 119.05	       386.9 
4.1	  0.0201	 118.51	       481.4 
4.9	  0.0201	 117.85	       574.5 
5.7	  0.0201	 117.07	       665.8 
6.5	  0.0201	 116.18	       755.2 
7.3	  0.0202	 115.18	       842.2 
8.1	  0.0202	 114.07	       926.8 
8.9	  0.0203	 112.87	       1008.8 
9.8	  0.0203	 111.57	       1087.8 
10.6	  0.0204	 110.19	       1163.9 
11.4	  0.0204	 108.74	       1236.9 
12.2	  0.0205	 107.21	       1306.6 
13.0	  0.0206	 105.61	       1372.9 
13.8	  0.0207	 103.94	       1435.7 
14.6	  0.0209	 102.22	       1495.0 
15.4	  0.0210	 100.45	       1550.7 
16.2	  0.0213	 98.62	       1602.5 
17.1	  0.0215	 96.73	       1650.4 
17.9	  0.0218	 94.79	       1694.3 
18.7	  0.0221	 92.79	       1734.0 
19.5	  0.0225	 90.73	       1769.3 
20.3	  0.0230	 88.62	       1800.0 
21.1	  0.0235	 86.43	       1825.8 
21.9	  0.0242	 84.17	       1846.5 
22.8	  0.0250	 81.84	       1861.9 
23.6	  0.0259	 79.44	       1871.7 
24.4	  0.0269	 76.95	       1875.8 
25.2	  0.0281	 74.40	       1873.9 
26.0	  0.0295	 71.78	       1866.2 
26.8	  0.0311	 69.10	       1852.7 
27.6	  0.0330	 66.38	       1833.7 
28.4	  0.0350	 63.63	       1809.5 
29.2	  0.0373	 60.88	       1780.7 
30.1	  0.0399	 58.15	       1748.1 
30.9	  0.0427	 55.46	       1712.3 
31.7	  0.0457	 52.84	       1674.4 
32.5	  0.0489	 50.31	       1635.1 
33.3	  0.0522	 47.89	       1595.3 
34.1	  0.0557	 45.59	       1555.8 
34.9	  0.0593	 43.43	       1517.2 
35.8	  0.0629	 41.40	       1480.2 
36.6	  0.0664	 39.52	       1444.9 
37.4	  0.0698	 37.78	       1411.9 
38.2	  0.0731	 36.17	       1381.1 
39.0	  0.0762	 34.68	       1352.6 
39.8	  0.0790	 33.32	       1326.4 
40.6	  0.0817	 32.06	       1302.3 
41.4	  0.0841	 30.90	       1280.3 
42.2	  0.0862	 29.83	       1260.1 
43.1	  0.0882	 28.83	       1241.6 
43.9	  0.0898	 27.91	       1224.5 
44.7	  0.0913	 27.05	       1208.7 
45.5	  0.0926	 26.24	       1194.0 
46.3	  0.0937	 25.48	       1180.2 
47.1	  0.0947	 24.77	       1167.2 
47.9	  0.0955	 24.09	       1154.9 
48.8	  0.0962	 23.45	       1143.1 
49.6	  0.0968	 22.83	       1131.7 
50.4	  0.0973	 22.25	       1120.7 
51.2	  0.0977	 21.69	       1110.0 
52.0	  0.0981	 21.15	       1099.6 
52.8	  0.0984	 20.63	       1089.3 
53.6	  0.0987	 20.12	       1079.1 
54.4	  0.0989	 19.64	       1069.0 
55.2	  0.0991	 19.17	       1059.0 
56.1	  0.0992	 18.71	       1049.0 
56.9	  0.0993	 18.27	       1039.1 
57.7	  0.0994	 17.84	       1029.1 
58.5	  0.0995	 17.42	       1019.2 
59.3	  0.0996	 17.01	       1009.2 
60.1	  0.0997	 16.62	       999.2 
60.9	  0.0997	 16.23	       989.1 
61.8	  0.0998	 15.85	       979.0 
62.6	  0.0998	 15.49	       968.8 
63.4	  0.0998	 15.13	       958.6 
64.2	  0.0999	 14.77	       948.4 
65.0	  0.0999	 14.43	       938.0 
65.8	  0.0999	 14.10	       927.7 
66.6	  0.0999	 13.77	       917.2 
67.4	  0.0999	 13.45	       906.7 
68.2	  0.0999	 13.13	       896.2 
69.1	  0.1000	 12.82	       885.5 
69.9	  0.1000	 12.52	       874.9 
70.7	  0.1000	 12.22	       864.1 
71.5	  0.1000	 11.93	       853.3 
72.3	  0.1000	 11.65	       842.5 
73.1	  0.1000	 11.37	       831.6 
73.9	  0.1000	 11.10	       820.6 
74.8	  0.1000	 10.83	       809.6 
75.6	  0.1000	 10.57	       798.5 
76.4	  0.1000	 10.31	       787.4 
77.2	  0.1000	 10.06	       776.2 
78.0	  0.1000	 9.81	       764.9 
78.8	  0.1000	 9.56	       753.6 
79.6	  0.1000	 9.32	       742.3 
80.4	  0.1000	 9.09	       730.9 
81.2	  0.1000	 8.85	       719.4 
82.1	  0.1000	 8.63	       707.9 
82.9	  0.1000	 8.40	       696.4 
83.7	  0.1000	 8.18	       684.8 
84.5	  0.1000	 7.97	       673.1 
85.3	  0.1000	 7.75	       661.4 
86.1	  0.1000	 7.54	       649.6 
86.9	  0.1000	 7.34	       637.8 
87.8	  0.1000	 7.13	       625.9 
88.6	  0.1000	 6.93	       614.0 
89.4	  0.1000	 6.74	       602.0 
90.2	  0.1000	 6.54	       590.0 
91.0	  0.1000	 6.35	       577.9 
91.8	  0.1000	 6.16	       565.7 
92.6	  0.1000	 5.98	       553.5 
93.4	  0.1000	 5.79	       541.3 
94.2	  0.1000	 5.61	       528.9 
95.1	  0.1000	 5.43	       516.6 
95.9	  0.1000	 5.26	       504.1 
96.7	  0.1000	 5.08	       491.6 
97.5	  0.1000	 4.91	       479.1 
98.3	  0.1000	 4.74	       466.5 
99.1	  0.1000	 4.58	       453.8 
99.9	  0.1000	 4.41	       441.1 
100.8	  0.1000	 4.25	       428.4 
101.6	  0.1000	 4.09	       415.6 
102.4	  0.1000	 3.93	       402.7 
103.2	  0.1000	 3.78	       389.8 
104.0	  0.1000	 3.62	       376.9 
104.8	  0.1000	 3.47	       363.9 
105.6	  0.1000	 3.32	       350.9 
106.4	  0.1000	 3.17	       337.9 
107.2	  0.1000	 3.03	       324.9 
108.1	  0.1000	 2.89	       311.9 
108.9	  0.1000	 2.74	       298.8 
109.7	  0.1000	 2.61	       285.8 
110.5	  0.1000	 2.47	       272.9 
111.3	  0.1000	 2.34	       260.0 
112.1	  0.1000	 2.20	       247.1 
112.9	  0.1000	 2.07	       234.3 
113.7	  0.1000	 1.95	       221.6 
114.6	  0.1000	 1.82	       209.1 
115.4	  0.1000	 1.70	       196.6 
116.2	  0.1000	 1.59	       184.3 
117.0	  0.1000	 1.47	       172.2 
117.8	  0.1000	 1.36	       160.3 
118.6	  0.1000	 1.25	       148.5 
119.4	  0.1000	 1.15	       137.0 
120.3	  0.1000	 1.05	       125.7 
121.1	  0.1000	 0.95	       114.7 
121.9	  0.1000	 0.85	       103.9 
122.7	  0.1000	 0.76	       93.3 
123.5	  0.1000	 0.67	       83.0 
124.3	  0.1000	 0.59	       72.8 
125.1	  0.1000	 0.50	       62.9 
125.9	  0.1000	 0.42	       53.0 
126.8	  0.1000	 0.34	       43.1 
127.6	  0.1000	 0.26	       33.1 
128.4	  0.1000	 0.18	       22.7 
129.2	  0.1000	 0.09	       11.9 
130.0	  0.1000	 0.00	       0.0 
