# x(km) 	 t(min) 	 rho(1/km) 	 v(km/h) 	 Q(1/h) 	 a(m^2/s^2) 
0.000000	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.000450	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.000900	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.001350	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.001800	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.002250	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.002700	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.003150	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.003600	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.004050	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.004500	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.004950	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.005400	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.005850	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.006300	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.006750	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.007200	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.007650	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.008100	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.008550	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.009000	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.009450	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.009900	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.010350	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.010800	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.011250	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.011700	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.012150	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.012600	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.013050	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.013500	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.013950	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.014400	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.014850	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.015300	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.015750	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.016200	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.016650	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.017100	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.017550	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.018000	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.018450	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.018900	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.019350	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.019800	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.020250	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.020700	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.021150	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.021600	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.022050	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.022500	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.022950	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.023400	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.023850	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.024300	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.024750	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.025200	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.025650	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.026100	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.026550	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.027000	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.027450	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.027900	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.028350	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.028800	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.029250	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.029700	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.030150	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.030600	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.031050	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.031500	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.031950	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.032400	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.032850	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.033300	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.033750	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.034200	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.034650	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.035100	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.035550	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.036000	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.036450	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
0.036900	  0.000000	  0.000000	 0.000000	 0.000000	 0.000000
