# rho	    A	        veq	       Qeq	  
0.0	  0.0082	 0.00	       0.0 
6250.0	  0.0082	 0.00	       0.0 
12500.0	  0.0082	 0.00	       0.0 
18750.0	  0.0083	 0.00	       0.0 
25000.0	  0.0083	 0.00	       0.0 
31250.0	  0.0083	 0.00	       0.0 
37500.0	  0.0084	 0.00	       0.0 
43750.0	  0.0084	 0.00	       0.0 
50000.0	  0.0085	 0.00	       0.0 
56250.0	  0.0085	 0.00	       0.0 
62500.0	  0.0086	 0.00	       0.0 
68750.0	  0.0087	 0.00	       0.0 
75000.0	  0.0088	 0.00	       0.0 
81250.0	  0.0089	 0.00	       0.0 
87500.0	  0.0090	 0.00	       0.0 
93750.0	  0.0091	 0.00	       0.0 
100000.0	  0.0093	 0.00	       0.0 
106250.0	  0.0095	 0.00	       0.0 
112500.0	  0.0096	 0.00	       0.0 
118750.0	  0.0099	 0.00	       0.0 
125000.0	  0.0101	 0.00	       0.0 
131250.0	  0.0103	 0.00	       0.0 
137500.0	  0.0106	 0.00	       0.0 
143750.0	  0.0110	 0.00	       0.0 
150000.0	  0.0113	 0.00	       0.0 
156250.0	  0.0117	 0.00	       0.0 
162500.0	  0.0122	 0.00	       0.0 
168750.0	  0.0127	 0.00	       0.0 
175000.0	  0.0132	 0.00	       0.0 
181250.0	  0.0138	 0.00	       0.0 
187500.0	  0.0144	 0.00	       0.0 
193750.0	  0.0151	 0.00	       0.0 
200000.0	  0.0159	 0.00	       0.0 
206250.0	  0.0167	 0.00	       0.0 
212500.0	  0.0176	 0.00	       0.0 
218750.0	  0.0186	 0.00	       0.0 
225000.0	  0.0196	 0.00	       0.0 
231250.0	  0.0206	 0.00	       0.0 
237500.0	  0.0217	 0.00	       0.0 
243750.0	  0.0229	 0.00	       0.0 
250000.0	  0.0241	 0.00	       0.0 
256250.0	  0.0253	 0.00	       0.0 
262500.0	  0.0265	 0.00	       0.0 
268750.0	  0.0278	 0.00	       0.0 
275000.0	  0.0290	 0.00	       0.0 
281250.0	  0.0302	 0.00	       0.0 
287500.0	  0.0315	 0.00	       0.0 
293750.0	  0.0327	 0.00	       0.0 
300000.0	  0.0338	 0.00	       0.0 
306250.0	  0.0349	 0.00	       0.0 
312500.0	  0.0360	 0.00	       0.0 
318750.0	  0.0370	 0.00	       0.0 
325000.0	  0.0380	 0.00	       0.0 
331250.0	  0.0389	 0.00	       0.0 
337500.0	  0.0398	 0.00	       0.0 
343750.0	  0.0406	 0.00	       0.0 
350000.0	  0.0413	 0.00	       0.0 
356250.0	  0.0420	 0.00	       0.0 
362500.0	  0.0426	 0.00	       0.0 
368750.0	  0.0431	 0.00	       0.0 
375000.0	  0.0436	 0.00	       0.0 
381250.0	  0.0441	 0.00	       0.0 
387500.0	  0.0445	 0.00	       0.0 
393750.0	  0.0449	 0.00	       0.0 
400000.0	  0.0452	 0.00	       0.0 
406250.0	  0.0455	 0.00	       0.0 
412500.0	  0.0458	 0.00	       0.0 
418750.0	  0.0461	 0.00	       0.0 
425000.0	  0.0463	 0.00	       0.0 
431250.0	  0.0465	 0.00	       0.0 
437500.0	  0.0466	 0.00	       0.0 
443750.0	  0.0468	 0.00	       0.0 
450000.0	  0.0469	 0.00	       0.0 
456250.0	  0.0471	 0.00	       0.0 
462500.0	  0.0472	 0.00	       0.0 
468750.0	  0.0473	 0.00	       0.0 
475000.0	  0.0473	 0.00	       0.0 
481250.0	  0.0474	 0.00	       0.0 
487500.0	  0.0475	 0.00	       0.0 
493750.0	  0.0475	 0.00	       0.0 
500000.0	  0.0476	 0.00	       0.0 
506250.0	  0.0476	 0.00	       0.0 
512500.0	  0.0477	 0.00	       0.0 
518750.0	  0.0477	 0.00	       0.0 
525000.0	  0.0478	 0.00	       0.0 
531250.0	  0.0478	 0.00	       0.0 
537500.0	  0.0478	 0.00	       0.0 
543750.0	  0.0478	 0.00	       0.0 
550000.0	  0.0479	 0.00	       0.0 
556250.0	  0.0479	 0.00	       0.0 
562500.0	  0.0479	 0.00	       0.0 
568750.0	  0.0479	 0.00	       0.0 
575000.0	  0.0479	 0.00	       0.0 
581250.0	  0.0479	 0.00	       0.0 
587500.0	  0.0479	 0.00	       0.0 
593750.0	  0.0479	 0.00	       0.0 
600000.0	  0.0479	 0.00	       0.0 
606250.0	  0.0480	 0.00	       0.0 
612500.0	  0.0480	 0.00	       0.0 
618750.0	  0.0480	 0.00	       0.0 
625000.0	  0.0480	 0.00	       0.0 
