# rho	    A	        veq	       Qeq	  
0.0	  0.0081	 118.80	       0.0 
0.9	  0.0082	 118.80	       104.0 
1.8	  0.0082	 118.80	       207.9 
2.6	  0.0082	 118.80	       311.9 
3.5	  0.0082	 118.80	       415.8 
4.4	  0.0083	 118.80	       519.8 
5.2	  0.0083	 118.80	       623.7 
6.1	  0.0083	 118.80	       727.6 
7.0	  0.0084	 118.80	       831.6 
7.9	  0.0084	 118.80	       935.6 
8.8	  0.0085	 118.80	       1039.5 
9.6	  0.0085	 118.80	       1143.5 
10.5	  0.0086	 118.80	       1247.4 
11.4	  0.0087	 118.80	       1351.4 
12.2	  0.0088	 118.80	       1455.3 
13.1	  0.0089	 118.80	       1559.3 
14.0	  0.0090	 118.80	       1663.2 
14.9	  0.0091	 118.80	       1767.2 
15.8	  0.0092	 118.80	       1871.1 
16.6	  0.0094	 114.77	       1908.0 
17.5	  0.0096	 108.00	       1890.0 
18.4	  0.0098	 101.88	       1872.0 
19.2	  0.0100	 96.31	       1854.0 
20.1	  0.0102	 91.23	       1836.0 
21.0	  0.0105	 86.57	       1818.0 
21.9	  0.0108	 82.29	       1800.0 
22.8	  0.0111	 78.33	       1782.0 
23.6	  0.0115	 74.67	       1764.0 
24.5	  0.0119	 71.27	       1746.0 
25.4	  0.0123	 68.10	       1728.0 
26.3	  0.0128	 65.14	       1710.0 
27.1	  0.0134	 62.38	       1692.0 
28.0	  0.0139	 59.79	       1674.0 
28.9	  0.0146	 57.35	       1656.0 
29.8	  0.0152	 55.06	       1638.0 
30.6	  0.0159	 52.90	       1620.0 
31.5	  0.0167	 50.86	       1602.0 
32.4	  0.0175	 48.93	       1584.0 
33.2	  0.0183	 47.10	       1566.0 
34.1	  0.0192	 45.36	       1548.0 
35.0	  0.0200	 43.71	       1530.0 
35.9	  0.0210	 42.15	       1512.0 
36.8	  0.0219	 40.65	       1494.0 
37.6	  0.0228	 39.23	       1476.0 
38.5	  0.0237	 37.87	       1458.0 
39.4	  0.0247	 36.57	       1440.0 
40.2	  0.0256	 35.33	       1422.0 
41.1	  0.0265	 34.14	       1404.0 
42.0	  0.0274	 33.00	       1386.0 
42.9	  0.0282	 31.91	       1368.0 
43.8	  0.0290	 30.86	       1350.0 
44.6	  0.0298	 29.85	       1332.0 
45.5	  0.0305	 28.88	       1314.0 
46.4	  0.0312	 27.95	       1296.0 
47.2	  0.0318	 27.05	       1278.0 
48.1	  0.0324	 26.18	       1260.0 
49.0	  0.0330	 25.35	       1242.0 
49.9	  0.0335	 24.54	       1224.0 
50.8	  0.0339	 23.76	       1206.0 
51.6	  0.0343	 23.01	       1188.0 
52.5	  0.0347	 22.29	       1170.0 
53.4	  0.0351	 21.58	       1152.0 
54.3	  0.0354	 20.90	       1134.0 
55.1	  0.0357	 20.24	       1116.0 
56.0	  0.0359	 19.61	       1098.0 
56.9	  0.0362	 18.99	       1080.0 
57.8	  0.0364	 18.39	       1062.0 
58.6	  0.0365	 17.81	       1044.0 
59.5	  0.0367	 17.24	       1026.0 
60.4	  0.0369	 16.70	       1008.0 
61.3	  0.0370	 16.16	       990.0 
62.1	  0.0371	 15.65	       972.0 
63.0	  0.0372	 15.14	       954.0 
63.9	  0.0373	 14.65	       936.0 
64.8	  0.0374	 14.18	       918.0 
65.6	  0.0374	 13.71	       900.0 
66.5	  0.0375	 13.26	       882.0 
67.4	  0.0376	 12.82	       864.0 
68.2	  0.0376	 12.40	       846.0 
69.1	  0.0377	 11.98	       828.0 
70.0	  0.0377	 11.57	       810.0 
70.9	  0.0377	 11.17	       792.0 
71.8	  0.0378	 10.79	       774.0 
72.6	  0.0378	 10.41	       756.0 
73.5	  0.0378	 10.04	       738.0 
74.4	  0.0378	 9.68	       720.0 
75.3	  0.0379	 9.33	       702.0 
76.1	  0.0379	 8.99	       684.0 
77.0	  0.0379	 8.65	       666.0 
77.9	  0.0379	 8.32	       648.0 
78.8	  0.0379	 8.00	       630.0 
79.6	  0.0379	 7.69	       612.0 
80.5	  0.0379	 7.38	       594.0 
81.4	  0.0379	 7.08	       576.0 
82.3	  0.0379	 6.78	       558.0 
83.1	  0.0380	 6.50	       540.0 
84.0	  0.0380	 6.21	       522.0 
84.9	  0.0380	 5.94	       504.0 
85.8	  0.0380	 5.67	       486.0 
86.6	  0.0380	 5.40	       468.0 
87.5	  0.0380	 5.14	       450.0 
88.4	  0.0380	 4.89	       432.0 
89.3	  0.0380	 4.64	       414.0 
90.1	  0.0380	 4.39	       396.0 
91.0	  0.0380	 4.15	       378.0 
91.9	  0.0380	 3.92	       360.0 
92.8	  0.0380	 3.69	       342.0 
93.6	  0.0380	 3.46	       324.0 
94.5	  0.0380	 3.24	       306.0 
95.4	  0.0380	 3.02	       288.0 
96.3	  0.0380	 2.81	       270.0 
97.1	  0.0380	 2.59	       252.0 
98.0	  0.0380	 2.39	       234.0 
98.9	  0.0380	 2.18	       216.0 
99.8	  0.0380	 1.98	       198.0 
100.6	  0.0380	 1.79	       180.0 
101.5	  0.0380	 1.60	       162.0 
102.4	  0.0380	 1.41	       144.0 
103.3	  0.0380	 1.22	       126.0 
104.1	  0.0380	 1.04	       108.0 
105.0	  0.0380	 0.86	       90.0 
105.9	  0.0380	 0.68	       72.0 
106.8	  0.0380	 0.51	       54.0 
107.6	  0.0380	 0.33	       36.0 
108.5	  0.0380	 0.17	       18.0 
109.4	  0.0380	 0.00	       0.0 
110.2	  0.0380	 0.00	       0.0 
111.1	  0.0380	 0.00	       0.0 
112.0	  0.0380	 0.00	       0.0 
112.9	  0.0380	 0.00	       0.0 
113.8	  0.0380	 0.00	       0.0 
114.6	  0.0380	 0.00	       0.0 
115.5	  0.0380	 0.00	       0.0 
116.4	  0.0380	 0.00	       0.0 
