# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 116.88	       0.0 
0.9	  0.0080	 116.74	       102.1 
1.8	  0.0080	 116.53	       203.9 
2.6	  0.0080	 116.25	       305.2 
3.5	  0.0080	 115.89	       405.6 
4.4	  0.0080	 115.45	       505.1 
5.2	  0.0080	 114.93	       603.4 
6.1	  0.0080	 114.33	       700.3 
7.0	  0.0081	 113.66	       795.6 
7.9	  0.0081	 112.91	       889.2 
8.8	  0.0081	 112.09	       980.8 
9.6	  0.0081	 111.20	       1070.3 
10.5	  0.0081	 110.24	       1157.5 
11.4	  0.0081	 109.21	       1242.2 
12.2	  0.0082	 108.11	       1324.3 
13.1	  0.0082	 106.95	       1403.7 
14.0	  0.0082	 105.73	       1480.2 
14.9	  0.0083	 104.45	       1553.7 
15.8	  0.0083	 103.11	       1624.0 
16.6	  0.0084	 101.71	       1691.0 
17.5	  0.0085	 100.26	       1754.5 
18.4	  0.0086	 98.75	       1814.5 
19.2	  0.0087	 97.17	       1870.6 
20.1	  0.0088	 95.54	       1922.7 
21.0	  0.0089	 93.84	       1970.6 
21.9	  0.0091	 92.07	       2014.1 
22.8	  0.0093	 90.23	       2052.8 
23.6	  0.0096	 88.31	       2086.4 
24.5	  0.0099	 86.31	       2114.6 
25.4	  0.0102	 84.23	       2137.2 
26.3	  0.0106	 82.05	       2153.8 
27.1	  0.0111	 79.79	       2164.2 
28.0	  0.0116	 77.44	       2168.3 
28.9	  0.0122	 75.01	       2165.9 
29.8	  0.0129	 72.51	       2157.1 
30.6	  0.0136	 69.95	       2142.2 
31.5	  0.0145	 67.35	       2121.6 
32.4	  0.0155	 64.74	       2095.9 
33.2	  0.0165	 62.13	       2065.7 
34.1	  0.0176	 59.55	       2032.0 
35.0	  0.0188	 57.02	       1995.6 
35.9	  0.0201	 54.57	       1957.6 
36.8	  0.0214	 52.21	       1918.7 
37.6	  0.0227	 49.96	       1879.7 
38.5	  0.0241	 47.83	       1841.5 
39.4	  0.0254	 45.83	       1804.5 
40.2	  0.0267	 43.96	       1769.2 
41.1	  0.0279	 42.21	       1735.8 
42.0	  0.0291	 40.58	       1704.5 
42.9	  0.0301	 39.07	       1675.3 
43.8	  0.0311	 37.67	       1648.1 
44.6	  0.0320	 36.37	       1622.9 
45.5	  0.0328	 35.16	       1599.6 
46.4	  0.0336	 34.02	       1577.9 
47.2	  0.0342	 32.97	       1557.6 
48.1	  0.0347	 31.97	       1538.6 
49.0	  0.0352	 31.04	       1520.8 
49.9	  0.0356	 30.15	       1503.8 
50.8	  0.0360	 29.31	       1487.6 
51.6	  0.0363	 28.52	       1472.1 
52.5	  0.0366	 27.75	       1457.1 
53.4	  0.0368	 27.03	       1442.5 
54.3	  0.0370	 26.33	       1428.2 
55.1	  0.0372	 25.65	       1414.2 
56.0	  0.0373	 25.01	       1400.4 
56.9	  0.0374	 24.38	       1386.6 
57.8	  0.0375	 23.77	       1373.0 
58.6	  0.0376	 23.19	       1359.4 
59.5	  0.0376	 22.62	       1345.8 
60.4	  0.0377	 22.07	       1332.2 
61.3	  0.0378	 21.53	       1318.6 
62.1	  0.0378	 21.00	       1304.9 
63.0	  0.0378	 20.49	       1291.1 
63.9	  0.0379	 20.00	       1277.3 
64.8	  0.0379	 19.51	       1263.4 
65.6	  0.0379	 19.04	       1249.4 
66.5	  0.0379	 18.58	       1235.4 
67.4	  0.0379	 18.13	       1221.3 
68.2	  0.0379	 17.69	       1207.1 
69.1	  0.0379	 17.26	       1192.8 
70.0	  0.0380	 16.83	       1178.4 
70.9	  0.0380	 16.42	       1164.0 
71.8	  0.0380	 16.02	       1149.5 
72.6	  0.0380	 15.63	       1134.9 
73.5	  0.0380	 15.24	       1120.3 
74.4	  0.0380	 14.87	       1105.7 
75.3	  0.0380	 14.50	       1090.9 
76.1	  0.0380	 14.14	       1076.2 
77.0	  0.0380	 13.78	       1061.4 
77.9	  0.0380	 13.44	       1046.6 
78.8	  0.0380	 13.10	       1031.7 
79.6	  0.0380	 12.77	       1016.9 
80.5	  0.0380	 12.45	       1002.0 
81.4	  0.0380	 12.13	       987.1 
82.3	  0.0380	 11.82	       972.2 
83.1	  0.0380	 11.52	       957.3 
84.0	  0.0380	 11.22	       942.5 
84.9	  0.0380	 10.93	       927.6 
85.8	  0.0380	 10.64	       912.8 
86.6	  0.0380	 10.37	       898.0 
87.5	  0.0380	 10.09	       883.2 
88.4	  0.0380	 9.83	       868.4 
89.3	  0.0380	 9.57	       853.7 
90.1	  0.0380	 9.31	       839.0 
91.0	  0.0380	 9.06	       824.4 
91.9	  0.0380	 8.81	       809.8 
92.8	  0.0380	 8.57	       795.2 
93.6	  0.0380	 8.34	       780.7 
94.5	  0.0380	 8.11	       766.3 
95.4	  0.0380	 7.88	       751.8 
96.3	  0.0380	 7.66	       737.5 
97.1	  0.0380	 7.45	       723.2 
98.0	  0.0380	 7.23	       708.9 
98.9	  0.0380	 7.03	       694.7 
99.8	  0.0380	 6.82	       680.6 
100.6	  0.0380	 6.62	       666.5 
101.5	  0.0380	 6.43	       652.4 
102.4	  0.0380	 6.24	       638.4 
103.3	  0.0380	 6.05	       624.4 
104.1	  0.0380	 5.86	       610.5 
105.0	  0.0380	 5.68	       596.6 
105.9	  0.0380	 5.50	       582.7 
106.8	  0.0380	 5.33	       568.9 
107.6	  0.0380	 5.16	       555.0 
108.5	  0.0380	 4.99	       541.2 
109.4	  0.0380	 4.82	       527.4 
110.2	  0.0380	 4.66	       513.5 
111.1	  0.0380	 4.50	       499.7 
112.0	  0.0380	 4.34	       485.9 
112.9	  0.0380	 4.18	       472.0 
113.8	  0.0380	 4.03	       458.1 
114.6	  0.0380	 3.88	       444.2 
115.5	  0.0380	 3.73	       430.3 
116.4	  0.0380	 3.58	       416.3 
117.2	  0.0380	 3.43	       402.2 
118.1	  0.0380	 3.29	       388.1 
119.0	  0.0380	 3.14	       373.9 
119.9	  0.0380	 3.00	       359.7 
120.8	  0.0380	 2.86	       345.3 
121.6	  0.0380	 2.72	       330.9 
122.5	  0.0380	 2.58	       316.4 
123.4	  0.0380	 2.45	       301.8 
124.3	  0.0380	 2.31	       287.1 
