# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 116.88	       0.0 
0.9	  0.0080	 116.74	       102.1 
1.8	  0.0080	 116.51	       203.9 
2.6	  0.0080	 116.20	       305.0 
3.5	  0.0080	 115.80	       405.3 
4.4	  0.0080	 115.31	       504.5 
5.2	  0.0080	 114.73	       602.3 
6.1	  0.0080	 114.07	       698.7 
7.0	  0.0081	 113.32	       793.2 
7.9	  0.0081	 112.49	       885.8 
8.8	  0.0081	 111.57	       976.2 
9.6	  0.0081	 110.58	       1064.3 
10.5	  0.0081	 109.51	       1149.9 
11.4	  0.0081	 108.37	       1232.7 
12.2	  0.0082	 107.16	       1312.8 
13.1	  0.0082	 105.89	       1389.8 
14.0	  0.0082	 104.56	       1463.8 
14.9	  0.0083	 103.16	       1534.5 
15.8	  0.0083	 101.71	       1601.9 
16.6	  0.0084	 100.20	       1665.8 
17.5	  0.0085	 98.63	       1726.1 
18.4	  0.0086	 97.01	       1782.6 
19.2	  0.0087	 95.34	       1835.2 
20.1	  0.0088	 93.60	       1883.7 
21.0	  0.0089	 91.80	       1927.8 
21.9	  0.0091	 89.94	       1967.4 
22.8	  0.0093	 88.01	       2002.2 
23.6	  0.0096	 86.01	       2031.9 
24.5	  0.0099	 83.93	       2056.2 
25.4	  0.0102	 81.77	       2074.9 
26.3	  0.0106	 79.53	       2087.6 
27.1	  0.0111	 77.21	       2094.3 
28.0	  0.0116	 74.81	       2094.7 
28.9	  0.0122	 72.34	       2088.8 
29.8	  0.0129	 69.81	       2076.9 
30.6	  0.0136	 67.24	       2059.1 
31.5	  0.0145	 64.63	       2035.9 
32.4	  0.0155	 62.02	       2007.9 
33.2	  0.0165	 59.43	       1975.9 
34.1	  0.0176	 56.87	       1940.7 
35.0	  0.0188	 54.38	       1903.3 
35.9	  0.0201	 51.97	       1864.4 
36.8	  0.0214	 49.66	       1825.1 
37.6	  0.0227	 47.47	       1785.9 
38.5	  0.0241	 45.40	       1747.7 
39.4	  0.0254	 43.45	       1710.9 
40.2	  0.0267	 41.64	       1675.9 
41.1	  0.0279	 39.95	       1642.9 
42.0	  0.0291	 38.38	       1612.1 
42.9	  0.0301	 36.93	       1583.4 
43.8	  0.0311	 35.58	       1556.8 
44.6	  0.0320	 34.34	       1532.2 
45.5	  0.0328	 33.17	       1509.4 
46.4	  0.0336	 32.09	       1488.3 
47.2	  0.0342	 31.08	       1468.6 
48.1	  0.0347	 30.13	       1450.2 
49.0	  0.0352	 29.24	       1432.8 
49.9	  0.0356	 28.40	       1416.5 
50.8	  0.0360	 27.60	       1400.8 
51.6	  0.0363	 26.85	       1385.9 
52.5	  0.0366	 26.12	       1371.4 
53.4	  0.0368	 25.43	       1357.4 
54.3	  0.0370	 24.77	       1343.7 
55.1	  0.0372	 24.13	       1330.3 
56.0	  0.0373	 23.52	       1317.1 
56.9	  0.0374	 22.93	       1303.9 
57.8	  0.0375	 22.35	       1290.9 
58.6	  0.0376	 21.80	       1278.0 
59.5	  0.0376	 21.26	       1265.1 
60.4	  0.0377	 20.74	       1252.1 
61.3	  0.0378	 20.23	       1239.2 
62.1	  0.0378	 19.74	       1226.2 
63.0	  0.0378	 19.26	       1213.2 
63.9	  0.0379	 18.79	       1200.1 
64.8	  0.0379	 18.33	       1187.0 
65.6	  0.0379	 17.89	       1173.8 
66.5	  0.0379	 17.45	       1160.6 
67.4	  0.0379	 17.03	       1147.2 
68.2	  0.0379	 16.61	       1133.8 
69.1	  0.0379	 16.21	       1120.4 
70.0	  0.0380	 15.81	       1106.9 
70.9	  0.0380	 15.43	       1093.3 
71.8	  0.0380	 15.05	       1079.7 
72.6	  0.0380	 14.68	       1066.0 
73.5	  0.0380	 14.32	       1052.2 
74.4	  0.0380	 13.96	       1038.4 
75.3	  0.0380	 13.62	       1024.6 
76.1	  0.0380	 13.28	       1010.8 
77.0	  0.0380	 12.95	       996.9 
77.9	  0.0380	 12.62	       983.0 
78.8	  0.0380	 12.30	       969.0 
79.6	  0.0380	 11.99	       955.1 
80.5	  0.0380	 11.69	       941.1 
81.4	  0.0380	 11.39	       927.1 
82.3	  0.0380	 11.10	       913.2 
83.1	  0.0380	 10.82	       899.2 
84.0	  0.0380	 10.54	       885.2 
84.9	  0.0380	 10.27	       871.3 
85.8	  0.0380	 10.00	       857.4 
86.6	  0.0380	 9.74	       843.4 
87.5	  0.0380	 9.48	       829.6 
88.4	  0.0380	 9.23	       815.7 
89.3	  0.0380	 8.98	       801.9 
90.1	  0.0380	 8.74	       788.1 
91.0	  0.0380	 8.51	       774.3 
91.9	  0.0380	 8.28	       760.6 
92.8	  0.0380	 8.05	       746.9 
93.6	  0.0380	 7.83	       733.3 
94.5	  0.0380	 7.62	       719.7 
95.4	  0.0380	 7.40	       706.1 
96.3	  0.0380	 7.20	       692.6 
97.1	  0.0380	 6.99	       679.2 
98.0	  0.0380	 6.79	       665.8 
98.9	  0.0380	 6.60	       652.4 
99.8	  0.0380	 6.41	       639.1 
100.6	  0.0380	 6.22	       625.8 
101.5	  0.0380	 6.03	       612.5 
102.4	  0.0380	 5.85	       599.3 
103.3	  0.0380	 5.68	       586.1 
104.1	  0.0380	 5.50	       573.0 
105.0	  0.0380	 5.33	       559.9 
105.9	  0.0380	 5.16	       546.8 
106.8	  0.0380	 5.00	       533.7 
107.6	  0.0380	 4.84	       520.6 
108.5	  0.0380	 4.68	       507.6 
109.4	  0.0380	 4.52	       494.5 
110.2	  0.0380	 4.37	       481.5 
111.1	  0.0380	 4.22	       468.4 
112.0	  0.0380	 4.07	       455.4 
112.9	  0.0380	 3.92	       442.3 
113.8	  0.0380	 3.77	       429.2 
114.6	  0.0380	 3.63	       416.1 
115.5	  0.0380	 3.49	       402.9 
116.4	  0.0380	 3.35	       389.7 
117.2	  0.0380	 3.21	       376.5 
118.1	  0.0380	 3.07	       363.2 
119.0	  0.0380	 2.94	       349.8 
119.9	  0.0380	 2.81	       336.4 
120.8	  0.0380	 2.67	       322.9 
121.6	  0.0380	 2.54	       309.4 
122.5	  0.0380	 2.41	       295.7 
123.4	  0.0380	 2.29	       282.0 
124.3	  0.0380	 2.16	       268.2 
125.1	  0.0380	 2.03	       254.3 
