# x(km) 	 t(min) 	 rho(1/km) 	 v(km/h) 	 Q(1/h) 	 a(m^2/s^2) 
0.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
0.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
0.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
1.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
1.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
2.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
2.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
2.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
3.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
3.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
4.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
4.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
4.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
5.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
5.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
6.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
6.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
6.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
7.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
7.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
8.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
8.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
8.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
9.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
9.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
10.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
10.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
10.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
11.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
11.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
12.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
12.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
12.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
13.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
13.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
14.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
14.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
14.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
15.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
15.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
16.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
16.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
16.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
17.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
17.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
18.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
18.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
18.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
19.200000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
19.600000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
20.000000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
20.400000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000
20.800000	  0.000000	  10.000000	 111.025050	 1110.250496	 0.000000

0.000000	  2.000000	  10.000000	 100.000000	 1000.000000	 0.102084
0.400000	  2.000000	  10.034430	 99.622564	 999.655644	 0.105256
0.800000	  2.000000	  12.156995	 94.680256	 1151.027430	 0.894590
1.200000	  2.000000	  20.590982	 91.555328	 1885.214143	 0.492437
1.600000	  2.000000	  21.474724	 94.053745	 2019.778220	 0.027312
2.000000	  2.000000	  20.504785	 96.930307	 1987.535107	 0.008119
2.400000	  2.000000	  19.497270	 99.679788	 1943.483725	 -0.002306
2.800000	  2.000000	  18.375527	 102.356890	 1880.861852	 -0.011298
3.200000	  2.000000	  17.209404	 104.919507	 1805.602165	 -0.019785
3.600000	  2.000000	  16.006676	 107.358043	 1718.445423	 -0.027612
4.000000	  2.000000	  14.849210	 109.702372	 1628.993544	 -0.036007
4.400000	  2.000000	  13.477939	 111.830960	 1507.250896	 -0.040883
4.800000	  2.000000	  11.922902	 112.926281	 1346.409028	 -0.035317
5.200000	  2.000000	  10.954410	 112.868293	 1236.405568	 -0.025627
5.600000	  2.000000	  10.531424	 112.425876	 1184.004582	 -0.017646
6.000000	  2.000000	  10.316029	 112.009323	 1155.491389	 -0.011874
6.400000	  2.000000	  10.187667	 111.689368	 1137.854104	 -0.007780
6.800000	  2.000000	  10.109626	 111.459052	 1126.809334	 -0.004963
7.200000	  2.000000	  10.062815	 111.300205	 1119.993396	 -0.003085
7.600000	  2.000000	  10.035254	 111.194553	 1115.865539	 -0.001868
8.000000	  2.000000	  10.019356	 111.126565	 1113.416580	 -0.001102
8.400000	  2.000000	  10.010385	 111.084163	 1111.995273	 -0.000633
8.800000	  2.000000	  10.005440	 111.058511	 1111.189307	 -0.000354
