# rho	    A	        veq	       Qeq	  
0.0	  0.0082	 119.88	       0.0 
0.9	  0.0082	 119.13	       104.2 
1.8	  0.0082	 118.38	       207.2 
2.6	  0.0083	 117.63	       308.8 
3.5	  0.0083	 116.88	       409.1 
4.4	  0.0083	 116.12	       508.0 
5.2	  0.0084	 115.36	       605.6 
6.1	  0.0084	 114.59	       701.9 
7.0	  0.0085	 113.81	       796.7 
7.9	  0.0085	 113.02	       890.1 
8.8	  0.0086	 112.22	       981.9 
9.6	  0.0087	 111.39	       1072.1 
10.5	  0.0088	 110.54	       1160.7 
11.4	  0.0089	 109.66	       1247.4 
12.2	  0.0090	 108.75	       1332.2 
13.1	  0.0091	 107.81	       1415.0 
14.0	  0.0093	 106.82	       1495.5 
14.9	  0.0095	 105.79	       1573.7 
15.8	  0.0096	 104.72	       1649.3 
16.6	  0.0099	 103.58	       1722.1 
17.5	  0.0101	 102.40	       1791.9 
18.4	  0.0103	 101.14	       1858.5 
19.2	  0.0106	 99.83	       1921.7 
20.1	  0.0110	 98.44	       1981.2 
21.0	  0.0113	 96.99	       2036.7 
21.9	  0.0117	 95.46	       2088.2 
22.8	  0.0122	 93.86	       2135.2 
23.6	  0.0127	 92.18	       2177.6 
24.5	  0.0132	 90.42	       2215.3 
25.4	  0.0138	 88.59	       2248.0 
26.3	  0.0144	 86.69	       2275.6 
27.1	  0.0151	 84.72	       2297.9 
28.0	  0.0159	 82.68	       2314.9 
28.9	  0.0167	 80.57	       2326.6 
29.8	  0.0176	 78.42	       2332.9 
30.6	  0.0186	 76.21	       2333.8 
31.5	  0.0196	 73.95	       2329.5 
32.4	  0.0206	 71.66	       2320.1 
33.2	  0.0217	 69.35	       2305.7 
34.1	  0.0229	 67.01	       2286.6 
35.0	  0.0241	 64.65	       2262.9 
35.9	  0.0253	 62.30	       2235.0 
36.8	  0.0265	 59.95	       2203.1 
37.6	  0.0278	 57.61	       2167.6 
38.5	  0.0290	 55.29	       2128.7 
39.4	  0.0302	 53.00	       2086.9 
40.2	  0.0315	 50.75	       2042.5 
41.1	  0.0327	 48.53	       1995.8 
42.0	  0.0338	 46.36	       1947.2 
42.9	  0.0349	 44.25	       1897.1 
43.8	  0.0360	 42.19	       1845.6 
44.6	  0.0370	 40.19	       1793.3 
45.5	  0.0380	 38.25	       1740.3 
46.4	  0.0389	 36.37	       1686.9 
47.2	  0.0398	 34.57	       1633.4 
48.1	  0.0406	 32.83	       1580.0 
49.0	  0.0413	 31.16	       1526.9 
49.9	  0.0420	 29.56	       1474.3 
50.8	  0.0426	 28.03	       1422.4 
51.6	  0.0431	 26.56	       1371.3 
