# rho	    A	        veq	       Qeq	  
0.0	  0.0100	 118.80	       0.0 
0.9	  0.0100	 118.06	       103.3 
1.8	  0.0100	 117.31	       205.3 
2.6	  0.0100	 116.57	       306.0 
3.5	  0.0100	 115.82	       405.4 
4.4	  0.0100	 115.07	       503.4 
5.2	  0.0100	 114.30	       600.1 
6.1	  0.0100	 113.52	       695.3 
7.0	  0.0100	 112.72	       789.0 
7.9	  0.0100	 111.89	       881.2 
8.8	  0.0101	 111.04	       971.6 
9.6	  0.0101	 110.14	       1060.1 
10.5	  0.0101	 109.20	       1146.6 
11.4	  0.0101	 108.20	       1230.8 
12.2	  0.0101	 107.15	       1312.6 
13.1	  0.0101	 106.02	       1391.6 
14.0	  0.0102	 104.82	       1467.5 
14.9	  0.0102	 103.54	       1540.1 
15.8	  0.0102	 102.16	       1609.1 
16.6	  0.0103	 100.69	       1673.9 
17.5	  0.0103	 99.11	       1734.4 
18.4	  0.0104	 97.43	       1790.2 
19.2	  0.0104	 95.63	       1840.9 
20.1	  0.0105	 93.72	       1886.1 
21.0	  0.0106	 91.70	       1925.6 
21.9	  0.0107	 89.56	       1959.1 
22.8	  0.0109	 87.32	       1986.5 
23.6	  0.0111	 84.97	       2007.5 
24.5	  0.0112	 82.53	       2022.0 
25.4	  0.0115	 80.00	       2030.0 
26.3	  0.0117	 77.39	       2031.6 
27.1	  0.0120	 74.72	       2026.9 
28.0	  0.0124	 72.00	       2016.0 
28.9	  0.0128	 69.24	       1999.3 
29.8	  0.0132	 66.45	       1977.0 
30.6	  0.0138	 63.66	       1949.6 
31.5	  0.0143	 60.87	       1917.4 
32.4	  0.0150	 58.10	       1880.9 
33.2	  0.0157	 55.36	       1840.7 
34.1	  0.0164	 52.66	       1797.1 
35.0	  0.0172	 50.02	       1750.7 
35.9	  0.0181	 47.44	       1702.1 
36.8	  0.0189	 44.94	       1651.5 
37.6	  0.0198	 42.52	       1599.6 
38.5	  0.0207	 40.18	       1546.8 
39.4	  0.0216	 37.93	       1493.3 
40.2	  0.0224	 35.77	       1439.7 
41.1	  0.0233	 33.71	       1386.2 
42.0	  0.0240	 31.74	       1333.1 
42.9	  0.0248	 29.87	       1280.6 
43.8	  0.0254	 28.09	       1229.1 
44.6	  0.0260	 26.41	       1178.5 
45.5	  0.0266	 24.82	       1129.1 
46.4	  0.0270	 23.31	       1081.1 
47.2	  0.0275	 21.89	       1034.5 
48.1	  0.0278	 20.56	       989.3 
49.0	  0.0282	 19.30	       945.6 
49.9	  0.0284	 18.12	       903.6 
50.8	  0.0287	 17.01	       863.0 
51.6	  0.0289	 15.96	       824.1 
52.5	  0.0291	 14.98	       786.7 
53.4	  0.0292	 14.07	       750.8 
54.3	  0.0293	 13.21	       716.5 
55.1	  0.0294	 12.40	       683.6 
56.0	  0.0295	 11.65	       652.2 
56.9	  0.0296	 10.94	       622.2 
57.8	  0.0297	 10.28	       593.6 
58.6	  0.0297	 9.66	       566.2 
59.5	  0.0298	 9.08	       540.1 
60.4	  0.0298	 8.53	       515.2 
61.3	  0.0298	 8.02	       491.5 
62.1	  0.0299	 7.55	       468.9 
63.0	  0.0299	 7.10	       447.4 
63.9	  0.0299	 6.68	       426.9 
64.8	  0.0299	 6.29	       407.3 
65.6	  0.0299	 5.92	       388.7 
66.5	  0.0299	 5.58	       370.9 
67.4	  0.0300	 5.25	       354.0 
68.2	  0.0300	 4.95	       337.9 
69.1	  0.0300	 4.67	       322.6 
70.0	  0.0300	 4.40	       308.0 
70.9	  0.0300	 4.15	       294.1 
71.8	  0.0300	 3.91	       280.8 
72.6	  0.0300	 3.69	       268.2 
73.5	  0.0300	 3.48	       256.1 
74.4	  0.0300	 3.29	       244.6 
75.3	  0.0300	 3.11	       233.7 
76.1	  0.0300	 2.93	       223.2 
77.0	  0.0300	 2.77	       213.3 
77.9	  0.0300	 2.62	       203.8 
78.8	  0.0300	 2.47	       194.7 
79.6	  0.0300	 2.34	       186.0 
80.5	  0.0300	 2.21	       177.8 
81.4	  0.0300	 2.09	       169.9 
82.3	  0.0300	 1.97	       162.4 
83.1	  0.0300	 1.87	       155.2 
84.0	  0.0300	 1.77	       148.3 
84.9	  0.0300	 1.67	       141.7 
85.8	  0.0300	 1.58	       135.4 
86.6	  0.0300	 1.49	       129.4 
87.5	  0.0300	 1.41	       123.7 
88.4	  0.0300	 1.34	       118.2 
89.3	  0.0300	 1.27	       112.9 
90.1	  0.0300	 1.20	       107.9 
91.0	  0.0300	 1.13	       103.1 
91.9	  0.0300	 1.07	       98.5 
92.8	  0.0300	 1.01	       94.1 
93.6	  0.0300	 0.96	       89.9 
94.5	  0.0300	 0.91	       85.8 
95.4	  0.0300	 0.86	       81.9 
96.3	  0.0300	 0.81	       78.2 
97.1	  0.0300	 0.77	       74.7 
98.0	  0.0300	 0.73	       71.3 
98.9	  0.0300	 0.69	       68.0 
