# rho	    A	        veq	       Qeq	  
0.0	  0.0200	 54.00	       0.0 
0.9	  0.0200	 54.00	       50.6 
1.9	  0.0200	 53.99	       101.2 
2.8	  0.0200	 53.98	       151.8 
3.8	  0.0200	 53.96	       202.3 
4.7	  0.0200	 53.93	       252.8 
5.6	  0.0200	 53.90	       303.2 
6.6	  0.0200	 53.86	       353.4 
7.5	  0.0200	 53.81	       403.6 
8.4	  0.0200	 53.76	       453.6 
9.4	  0.0200	 53.70	       503.4 
10.3	  0.0200	 53.63	       553.1 
11.2	  0.0200	 53.56	       602.5 
12.2	  0.0200	 53.48	       651.7 
13.1	  0.0200	 53.39	       700.7 
14.1	  0.0200	 53.29	       749.4 
15.0	  0.0200	 53.18	       797.7 
15.9	  0.0200	 53.07	       845.8 
16.9	  0.0200	 52.94	       893.4 
17.8	  0.0200	 52.81	       940.7 
18.8	  0.0200	 52.67	       987.6 
19.7	  0.0200	 52.52	       1034.1 
20.6	  0.0200	 52.37	       1080.1 
21.6	  0.0200	 52.20	       1125.6 
22.5	  0.0200	 52.02	       1170.6 
23.4	  0.0200	 51.84	       1215.0 
24.4	  0.0200	 51.65	       1258.9 
25.3	  0.0200	 51.44	       1302.2 
26.3	  0.0200	 51.23	       1344.8 
27.2	  0.0200	 51.01	       1386.9 
28.1	  0.0200	 50.78	       1428.2 
29.1	  0.0200	 50.54	       1468.9 
30.0	  0.0200	 50.29	       1508.8 
30.9	  0.0200	 50.04	       1548.0 
31.9	  0.0200	 49.77	       1586.5 
32.8	  0.0200	 49.50	       1624.2 
33.7	  0.0200	 49.22	       1661.0 
34.7	  0.0200	 48.92	       1697.0 
35.6	  0.0200	 48.62	       1732.2 
36.6	  0.0200	 48.32	       1766.6 
37.5	  0.0200	 48.00	       1800.0 
38.4	  0.0200	 47.68	       1832.5 
39.4	  0.0200	 47.34	       1864.2 
40.3	  0.0200	 47.01	       1894.9 
41.2	  0.0200	 46.66	       1924.7 
42.2	  0.0200	 46.31	       1953.5 
43.1	  0.0200	 45.94	       1981.4 
44.1	  0.0200	 45.58	       2008.3 
45.0	  0.0200	 45.20	       2034.2 
45.9	  0.0200	 44.82	       2059.1 
46.9	  0.0200	 44.44	       2083.0 
47.8	  0.0200	 44.05	       2105.9 
48.8	  0.0200	 43.65	       2127.9 
49.7	  0.0200	 43.25	       2148.8 
50.6	  0.0200	 42.84	       2168.7 
51.6	  0.0200	 42.43	       2187.6 
52.5	  0.0200	 42.01	       2205.4 
53.4	  0.0200	 41.59	       2222.3 
54.4	  0.0200	 41.16	       2238.1 
55.3	  0.0200	 40.73	       2252.9 
56.2	  0.0200	 40.30	       2266.8 
57.2	  0.0200	 39.86	       2279.6 
58.1	  0.0200	 39.42	       2291.4 
59.1	  0.0200	 38.98	       2302.2 
60.0	  0.0200	 38.53	       2312.0 
60.9	  0.0200	 38.09	       2320.8 
61.9	  0.0200	 37.63	       2328.7 
62.8	  0.0200	 37.18	       2335.5 
63.8	  0.0200	 36.73	       2341.4 
64.7	  0.0200	 36.27	       2346.3 
65.6	  0.0200	 35.81	       2350.3 
66.6	  0.0200	 35.36	       2353.3 
67.5	  0.0200	 34.90	       2355.4 
68.4	  0.0200	 34.43	       2356.6 
69.4	  0.0200	 33.97	       2356.8 
70.3	  0.0200	 33.51	       2356.2 
71.3	  0.0200	 33.05	       2354.6 
72.2	  0.0200	 32.58	       2352.1 
73.1	  0.0200	 32.12	       2348.8 
74.1	  0.0200	 31.66	       2344.6 
75.0	  0.0200	 31.19	       2339.5 
75.9	  0.0200	 30.73	       2333.6 
76.9	  0.0200	 30.27	       2326.9 
77.8	  0.0200	 29.81	       2319.3 
78.8	  0.0200	 29.34	       2310.9 
79.7	  0.0200	 28.88	       2301.7 
80.6	  0.0200	 28.42	       2291.7 
81.6	  0.0200	 27.97	       2280.9 
82.5	  0.0200	 27.51	       2269.4 
83.4	  0.0200	 27.05	       2257.1 
84.4	  0.0200	 26.60	       2244.0 
85.3	  0.0200	 26.14	       2230.2 
86.2	  0.0200	 25.69	       2215.7 
87.2	  0.0200	 25.24	       2200.4 
88.1	  0.0200	 24.79	       2184.4 
89.1	  0.0200	 24.34	       2167.8 
90.0	  0.0200	 23.89	       2150.4 
90.9	  0.0200	 23.45	       2132.4 
91.9	  0.0200	 23.01	       2113.7 
92.8	  0.0200	 22.57	       2094.4 
93.8	  0.0200	 22.13	       2074.4 
94.7	  0.0200	 21.69	       2053.7 
95.6	  0.0200	 21.25	       2032.5 
96.6	  0.0200	 20.82	       2010.6 
97.5	  0.0200	 20.39	       1988.1 
98.4	  0.0200	 19.96	       1965.0 
99.4	  0.0200	 19.54	       1941.3 
100.3	  0.0200	 19.11	       1917.1 
101.2	  0.0200	 18.69	       1892.2 
102.2	  0.0200	 18.27	       1866.8 
103.1	  0.0200	 17.85	       1840.9 
104.1	  0.0200	 17.44	       1814.4 
105.0	  0.0200	 17.02	       1787.4 
105.9	  0.0200	 16.61	       1759.9 
106.9	  0.0200	 16.20	       1731.8 
107.8	  0.0200	 15.80	       1703.2 
108.7	  0.0200	 15.39	       1674.1 
109.7	  0.0200	 14.99	       1644.6 
110.6	  0.0200	 14.59	       1614.5 
111.6	  0.0200	 14.20	       1584.0 
112.5	  0.0200	 13.80	       1553.0 
113.4	  0.0200	 13.41	       1521.5 
114.4	  0.0200	 13.02	       1489.6 
115.3	  0.0200	 12.64	       1457.2 
116.2	  0.0200	 12.25	       1424.4 
117.2	  0.0200	 11.87	       1391.1 
118.1	  0.0200	 11.49	       1357.5 
119.1	  0.0200	 11.11	       1323.4 
120.0	  0.0200	 10.74	       1288.9 
120.9	  0.0200	 10.37	       1253.9 
121.9	  0.0200	 10.00	       1218.6 
122.8	  0.0200	 9.63	       1182.9 
123.8	  0.0200	 9.27	       1146.8 
124.7	  0.0200	 8.90	       1110.3 
125.6	  0.0200	 8.54	       1073.4 
126.6	  0.0200	 8.19	       1036.2 
127.5	  0.0200	 7.83	       998.6 
128.4	  0.0200	 7.48	       960.7 
129.4	  0.0200	 7.13	       922.3 
130.3	  0.0200	 6.78	       883.7 
131.2	  0.0200	 6.44	       844.7 
132.2	  0.0200	 6.09	       805.3 
133.1	  0.0200	 5.75	       765.7 
134.1	  0.0200	 5.41	       725.6 
135.0	  0.0200	 5.08	       685.3 
135.9	  0.0200	 4.74	       644.7 
136.9	  0.0200	 4.41	       603.7 
137.8	  0.0200	 4.08	       562.5 
138.7	  0.0200	 3.75	       520.9 
139.7	  0.0200	 3.43	       479.0 
140.6	  0.0200	 3.11	       436.9 
141.6	  0.0200	 2.79	       394.4 
142.5	  0.0200	 2.47	       351.7 
143.4	  0.0200	 2.15	       308.7 
144.4	  0.0200	 1.84	       265.4 
145.3	  0.0200	 1.53	       221.8 
146.2	  0.0200	 1.22	       178.0 
147.2	  0.0200	 0.91	       133.9 
148.1	  0.0200	 0.60	       89.5 
149.1	  0.0200	 0.30	       44.9 
150.0	  0.0200	 0.00	       0.0 
