# rho	    A	        veq	       Qeq	  
0.0	  0.0200	 126.00	       0.0 
0.9	  0.0200	 125.72	       110.0 
1.8	  0.0200	 124.89	       218.6 
2.6	  0.0200	 123.53	       324.3 
3.5	  0.0200	 121.68	       425.9 
4.4	  0.0200	 119.42	       522.5 
5.2	  0.0200	 116.81	       613.3 
6.1	  0.0200	 113.95	       697.9 
7.0	  0.0200	 110.89	       776.2 
7.9	  0.0200	 107.72	       848.3 
8.8	  0.0200	 104.48	       914.2 
9.6	  0.0200	 101.23	       974.3 
10.5	  0.0200	 97.99	       1028.9 
11.4	  0.0200	 94.81	       1078.5 
12.2	  0.0200	 91.70	       1123.3 
13.1	  0.0200	 88.67	       1163.7 
14.0	  0.0200	 85.73	       1200.2 
14.9	  0.0200	 82.89	       1233.0 
15.8	  0.0200	 80.16	       1262.5 
16.6	  0.0200	 77.53	       1289.0 
17.5	  0.0200	 75.00	       1312.6 
18.4	  0.0200	 72.58	       1333.6 
19.2	  0.0200	 70.25	       1352.3 
20.1	  0.0201	 68.02	       1368.9 
21.0	  0.0201	 65.88	       1383.4 
21.9	  0.0201	 63.82	       1396.1 
22.8	  0.0201	 61.85	       1407.1 
23.6	  0.0201	 59.96	       1416.5 
24.5	  0.0201	 58.14	       1424.4 
25.4	  0.0201	 56.39	       1430.9 
26.3	  0.0202	 54.71	       1436.1 
27.1	  0.0202	 53.09	       1440.0 
28.0	  0.0202	 51.53	       1442.8 
28.9	  0.0203	 50.03	       1444.5 
29.8	  0.0203	 48.57	       1445.1 
30.6	  0.0204	 47.17	       1444.7 
31.5	  0.0204	 45.82	       1443.4 
32.4	  0.0205	 44.51	       1441.1 
33.2	  0.0206	 43.25	       1438.0 
34.1	  0.0206	 42.02	       1434.1 
35.0	  0.0207	 40.84	       1429.5 
35.9	  0.0208	 39.70	       1424.1 
36.8	  0.0209	 38.59	       1418.2 
37.6	  0.0210	 37.52	       1411.8 
38.5	  0.0211	 36.49	       1404.9 
39.4	  0.0212	 35.49	       1397.6 
