# rho	    A	        veq	       Qeq	  
0.0	  0.0081	 118.80	       0.0 
0.9	  0.0082	 118.80	       104.0 
1.8	  0.0082	 118.80	       207.9 
2.6	  0.0082	 118.80	       311.9 
3.5	  0.0082	 118.80	       415.8 
4.4	  0.0083	 118.80	       519.8 
5.2	  0.0083	 118.80	       623.7 
6.1	  0.0083	 118.80	       727.6 
7.0	  0.0084	 118.80	       831.6 
7.9	  0.0084	 118.80	       935.6 
8.8	  0.0085	 118.80	       1039.5 
9.6	  0.0085	 118.80	       1143.5 
10.5	  0.0086	 118.80	       1247.4 
11.4	  0.0087	 118.80	       1351.4 
12.2	  0.0088	 118.80	       1455.3 
13.1	  0.0089	 118.80	       1559.3 
14.0	  0.0090	 118.80	       1663.2 
14.9	  0.0091	 118.80	       1767.2 
15.8	  0.0092	 118.80	       1871.1 
16.6	  0.0094	 118.80	       1975.0 
17.5	  0.0096	 115.20	       2016.0 
18.4	  0.0098	 108.67	       1996.8 
19.2	  0.0100	 102.73	       1977.6 
20.1	  0.0102	 97.31	       1958.4 
21.0	  0.0105	 92.34	       1939.2 
21.9	  0.0108	 87.77	       1920.0 
22.8	  0.0111	 83.55	       1900.8 
23.6	  0.0115	 79.64	       1881.6 
24.5	  0.0119	 76.02	       1862.4 
25.4	  0.0123	 72.64	       1843.2 
26.3	  0.0128	 69.49	       1824.0 
27.1	  0.0134	 66.54	       1804.8 
28.0	  0.0139	 63.77	       1785.6 
28.9	  0.0146	 61.17	       1766.4 
29.8	  0.0152	 58.73	       1747.2 
30.6	  0.0159	 56.42	       1728.0 
31.5	  0.0167	 54.25	       1708.8 
32.4	  0.0175	 52.19	       1689.6 
33.2	  0.0183	 50.24	       1670.4 
34.1	  0.0192	 48.39	       1651.2 
35.0	  0.0200	 46.63	       1632.0 
35.9	  0.0210	 44.96	       1612.8 
36.8	  0.0219	 43.36	       1593.6 
37.6	  0.0228	 41.84	       1574.4 
38.5	  0.0237	 40.39	       1555.2 
39.4	  0.0247	 39.01	       1536.0 
40.2	  0.0256	 37.68	       1516.8 
41.1	  0.0265	 36.42	       1497.6 
42.0	  0.0274	 35.20	       1478.4 
42.9	  0.0282	 34.03	       1459.2 
43.8	  0.0290	 32.91	       1440.0 
44.6	  0.0298	 31.84	       1420.8 
45.5	  0.0305	 30.80	       1401.6 
46.4	  0.0312	 29.81	       1382.4 
47.2	  0.0318	 28.85	       1363.2 
48.1	  0.0324	 27.93	       1344.0 
49.0	  0.0330	 27.04	       1324.8 
49.9	  0.0335	 26.18	       1305.6 
50.8	  0.0339	 25.35	       1286.4 
51.6	  0.0343	 24.55	       1267.2 
52.5	  0.0347	 23.77	       1248.0 
53.4	  0.0351	 23.02	       1228.8 
54.3	  0.0354	 22.30	       1209.6 
55.1	  0.0357	 21.59	       1190.4 
56.0	  0.0359	 20.91	       1171.2 
56.9	  0.0362	 20.25	       1152.0 
57.8	  0.0364	 19.62	       1132.8 
58.6	  0.0365	 19.00	       1113.6 
59.5	  0.0367	 18.39	       1094.4 
60.4	  0.0369	 17.81	       1075.2 
61.3	  0.0370	 17.24	       1056.0 
62.1	  0.0371	 16.69	       1036.8 
63.0	  0.0372	 16.15	       1017.6 
63.9	  0.0373	 15.63	       998.4 
64.8	  0.0374	 15.12	       979.2 
65.6	  0.0374	 14.63	       960.0 
66.5	  0.0375	 14.15	       940.8 
67.4	  0.0376	 13.68	       921.6 
68.2	  0.0376	 13.22	       902.4 
69.1	  0.0377	 12.78	       883.2 
70.0	  0.0377	 12.34	       864.0 
70.9	  0.0377	 11.92	       844.8 
71.8	  0.0378	 11.51	       825.6 
72.6	  0.0378	 11.10	       806.4 
73.5	  0.0378	 10.71	       787.2 
74.4	  0.0378	 10.33	       768.0 
75.3	  0.0379	 9.95	       748.8 
76.1	  0.0379	 9.58	       729.6 
77.0	  0.0379	 9.23	       710.4 
77.9	  0.0379	 8.88	       691.2 
78.8	  0.0379	 8.53	       672.0 
79.6	  0.0379	 8.20	       652.8 
80.5	  0.0379	 7.87	       633.6 
81.4	  0.0379	 7.55	       614.4 
82.3	  0.0379	 7.24	       595.2 
83.1	  0.0380	 6.93	       576.0 
84.0	  0.0380	 6.63	       556.8 
84.9	  0.0380	 6.33	       537.6 
85.8	  0.0380	 6.05	       518.4 
86.6	  0.0380	 5.76	       499.2 
87.5	  0.0380	 5.49	       480.0 
88.4	  0.0380	 5.21	       460.8 
89.3	  0.0380	 4.95	       441.6 
90.1	  0.0380	 4.69	       422.4 
91.0	  0.0380	 4.43	       403.2 
91.9	  0.0380	 4.18	       384.0 
92.8	  0.0380	 3.93	       364.8 
93.6	  0.0380	 3.69	       345.6 
94.5	  0.0380	 3.45	       326.4 
95.4	  0.0380	 3.22	       307.2 
96.3	  0.0380	 2.99	       288.0 
97.1	  0.0380	 2.77	       268.8 
98.0	  0.0380	 2.55	       249.6 
98.9	  0.0380	 2.33	       230.4 
99.8	  0.0380	 2.12	       211.2 
100.6	  0.0380	 1.91	       192.0 
101.5	  0.0380	 1.70	       172.8 
102.4	  0.0380	 1.50	       153.6 
103.3	  0.0380	 1.30	       134.4 
104.1	  0.0380	 1.11	       115.2 
105.0	  0.0380	 0.91	       96.0 
105.9	  0.0380	 0.73	       76.8 
106.8	  0.0380	 0.54	       57.6 
107.6	  0.0380	 0.36	       38.4 
108.5	  0.0380	 0.18	       19.2 
109.4	  0.0380	 0.00	       0.0 
110.2	  0.0380	 0.00	       0.0 
111.1	  0.0380	 0.00	       0.0 
112.0	  0.0380	 0.00	       0.0 
112.9	  0.0380	 0.00	       0.0 
113.8	  0.0380	 0.00	       0.0 
114.6	  0.0380	 0.00	       0.0 
115.5	  0.0380	 0.00	       0.0 
116.4	  0.0380	 0.00	       0.0 
