# rho	    A	        veq	       Qeq	  
0.0	  0.0082	 0.00	       0.0 
0.6	  0.0082	 0.00	       0.0 
1.2	  0.0082	 0.00	       0.0 
1.9	  0.0083	 0.00	       0.0 
2.5	  0.0083	 0.00	       0.0 
3.1	  0.0083	 0.00	       0.0 
3.8	  0.0084	 0.00	       0.0 
4.4	  0.0084	 0.00	       0.0 
5.0	  0.0085	 0.00	       0.0 
5.6	  0.0085	 0.00	       0.0 
6.2	  0.0086	 0.00	       0.0 
6.9	  0.0087	 0.00	       0.0 
7.5	  0.0088	 0.00	       0.0 
8.1	  0.0089	 0.00	       0.0 
8.8	  0.0090	 0.00	       0.0 
9.4	  0.0091	 0.00	       0.0 
10.0	  0.0093	 0.00	       0.0 
10.6	  0.0095	 0.00	       0.0 
11.2	  0.0096	 0.00	       0.0 
11.9	  0.0099	 0.00	       0.0 
12.5	  0.0101	 0.00	       0.0 
13.1	  0.0103	 0.00	       0.0 
13.8	  0.0106	 0.00	       0.0 
14.4	  0.0110	 0.00	       0.0 
15.0	  0.0113	 0.00	       0.0 
15.6	  0.0117	 0.00	       0.0 
16.2	  0.0122	 0.00	       0.0 
16.9	  0.0127	 0.00	       0.0 
17.5	  0.0132	 0.00	       0.0 
18.1	  0.0138	 0.00	       0.0 
18.8	  0.0144	 0.00	       0.0 
19.4	  0.0151	 0.00	       0.0 
20.0	  0.0159	 0.00	       0.0 
20.6	  0.0167	 0.00	       0.0 
21.2	  0.0176	 0.00	       0.0 
21.9	  0.0186	 0.00	       0.0 
22.5	  0.0196	 0.00	       0.0 
23.1	  0.0206	 0.00	       0.0 
23.8	  0.0217	 0.00	       0.0 
24.4	  0.0229	 0.00	       0.0 
25.0	  0.0241	 0.00	       0.0 
25.6	  0.0253	 0.00	       0.0 
26.3	  0.0265	 0.00	       0.0 
26.9	  0.0278	 0.00	       0.0 
27.5	  0.0290	 0.00	       0.0 
28.1	  0.0302	 0.00	       0.0 
28.8	  0.0315	 0.00	       0.0 
29.4	  0.0327	 0.00	       0.0 
30.0	  0.0338	 0.00	       0.0 
30.6	  0.0349	 0.00	       0.0 
31.2	  0.0360	 0.00	       0.0 
31.9	  0.0370	 0.00	       0.0 
32.5	  0.0380	 0.00	       0.0 
33.1	  0.0389	 0.00	       0.0 
33.8	  0.0398	 0.00	       0.0 
34.4	  0.0406	 0.00	       0.0 
35.0	  0.0413	 0.00	       0.0 
35.6	  0.0420	 0.00	       0.0 
36.3	  0.0426	 0.00	       0.0 
36.9	  0.0431	 0.00	       0.0 
37.5	  0.0436	 0.00	       0.0 
38.1	  0.0441	 0.00	       0.0 
38.8	  0.0445	 0.00	       0.0 
39.4	  0.0449	 0.00	       0.0 
40.0	  0.0452	 0.00	       0.0 
40.6	  0.0455	 0.00	       0.0 
41.2	  0.0458	 0.00	       0.0 
41.9	  0.0461	 0.00	       0.0 
42.5	  0.0463	 0.00	       0.0 
43.1	  0.0465	 0.00	       0.0 
43.8	  0.0466	 0.00	       0.0 
44.4	  0.0468	 0.00	       0.0 
45.0	  0.0469	 0.00	       0.0 
45.6	  0.0471	 0.00	       0.0 
46.2	  0.0472	 0.00	       0.0 
46.9	  0.0473	 0.00	       0.0 
47.5	  0.0473	 0.00	       0.0 
48.1	  0.0474	 0.00	       0.0 
48.8	  0.0475	 0.00	       0.0 
49.4	  0.0475	 0.00	       0.0 
50.0	  0.0476	 0.00	       0.0 
50.6	  0.0476	 0.00	       0.0 
