# rho	    A	        veq	       Qeq	  
0.0	  0.5004	 10.80	       0.0 
18.8	  0.5005	 10.80	       202.5 
37.5	  0.5006	 10.80	       404.8 
56.2	  0.5008	 10.79	       607.0 
75.0	  0.5009	 10.78	       808.7 
93.8	  0.5011	 10.77	       1009.9 
112.5	  0.5013	 10.76	       1210.5 
131.2	  0.5016	 10.75	       1410.3 
150.0	  0.5019	 10.73	       1609.2 
168.8	  0.5022	 10.71	       1807.0 
187.5	  0.5027	 10.69	       2003.5 
206.2	  0.5032	 10.66	       2198.6 
225.0	  0.5038	 10.63	       2392.1 
243.8	  0.5045	 10.60	       2583.9 
262.5	  0.5054	 10.57	       2773.7 
281.2	  0.5065	 10.53	       2961.4 
300.0	  0.5077	 10.49	       3146.9 
318.8	  0.5092	 10.45	       3329.8 
337.5	  0.5110	 10.40	       3510.1 
356.2	  0.5131	 10.35	       3687.5 
375.0	  0.5156	 10.30	       3861.7 
393.8	  0.5186	 10.24	       4032.5 
412.5	  0.5222	 10.18	       4199.6 
431.2	  0.5264	 10.12	       4362.8 
450.0	  0.5314	 10.05	       4521.6 
468.8	  0.5373	 9.97	       4675.7 
487.5	  0.5443	 9.90	       4824.7 
506.2	  0.5525	 9.81	       4967.9 
525.0	  0.5621	 9.72	       5105.0 
543.8	  0.5734	 9.63	       5235.1 
562.5	  0.5865	 9.52	       5357.7 
581.2	  0.6017	 9.41	       5471.9 
600.0	  0.6192	 9.30	       5577.1 
618.8	  0.6393	 9.17	       5672.4 
637.5	  0.6621	 9.03	       5757.0 
656.2	  0.6878	 8.88	       5830.4 
675.0	  0.7166	 8.73	       5892.0 
693.8	  0.7484	 8.56	       5941.6 
712.5	  0.7832	 8.39	       5979.1 
731.2	  0.8208	 8.21	       6005.0 
750.0	  0.8609	 8.03	       6019.9 
768.8	  0.9030	 7.84	       6024.6 
787.5	  0.9466	 7.65	       6020.6 
806.2	  0.9911	 7.45	       6009.1 
825.0	  1.0357	 7.26	       5991.7 
843.8	  1.0797	 7.08	       5969.8 
862.5	  1.1225	 6.89	       5944.7 
881.2	  1.1634	 6.72	       5917.7 
900.0	  1.2021	 6.54	       5889.8 
918.8	  1.2380	 6.38	       5861.6 
937.5	  1.2711	 6.22	       5833.9 
956.2	  1.3010	 6.07	       5806.8 
975.0	  1.3280	 5.93	       5780.7 
993.8	  1.3520	 5.79	       5755.5 
1012.5	  1.3731	 5.66	       5731.3 
1031.2	  1.3916	 5.53	       5707.8 
1050.0	  1.4077	 5.41	       5684.9 
1068.8	  1.4216	 5.30	       5662.6 
1087.5	  1.4336	 5.19	       5640.4 
1106.2	  1.4438	 5.08	       5618.4 
1125.0	  1.4526	 4.97	       5596.2 
1143.8	  1.4600	 4.87	       5573.8 
1162.5	  1.4663	 4.77	       5550.9 
1181.2	  1.4717	 4.68	       5527.5 
1200.0	  1.4762	 4.59	       5503.4 
1218.8	  1.4800	 4.50	       5478.5 
1237.5	  1.4832	 4.41	       5452.8 
1256.2	  1.4859	 4.32	       5426.2 
1275.0	  1.4882	 4.23	       5398.6 
1293.8	  1.4901	 4.15	       5370.1 
1312.5	  1.4917	 4.07	       5340.5 
1331.2	  1.4931	 3.99	       5309.9 
1350.0	  1.4942	 3.91	       5278.2 
1368.8	  1.4951	 3.83	       5245.5 
1387.5	  1.4959	 3.76	       5211.6 
1406.2	  1.4966	 3.68	       5176.8 
1425.0	  1.4971	 3.61	       5140.8 
1443.8	  1.4976	 3.54	       5103.8 
1462.5	  1.4980	 3.46	       5065.8 
1481.2	  1.4983	 3.39	       5026.8 
1500.0	  1.4986	 3.32	       4986.7 
1518.8	  1.4988	 3.26	       4945.6 
1537.5	  1.4990	 3.19	       4903.5 
1556.2	  1.4992	 3.12	       4860.5 
1575.0	  1.4993	 3.06	       4816.5 
1593.8	  1.4994	 2.99	       4771.5 
1612.5	  1.4995	 2.93	       4725.7 
1631.2	  1.4996	 2.87	       4678.9 
1650.0	  1.4997	 2.81	       4631.2 
1668.8	  1.4997	 2.75	       4582.6 
1687.5	  1.4998	 2.69	       4533.1 
1706.2	  1.4998	 2.63	       4482.7 
1725.0	  1.4998	 2.57	       4431.5 
1743.8	  1.4999	 2.51	       4379.4 
1762.5	  1.4999	 2.45	       4326.5 
1781.2	  1.4999	 2.40	       4272.8 
1800.0	  1.4999	 2.34	       4218.1 
1818.8	  1.4999	 2.29	       4162.7 
1837.5	  1.4999	 2.23	       4106.4 
1856.2	  1.5000	 2.18	       4049.3 
1875.0	  1.5000	 2.13	       3991.4 
1893.8	  1.5000	 2.08	       3932.7 
1912.5	  1.5000	 2.03	       3873.1 
1931.2	  1.5000	 1.97	       3812.6 
1950.0	  1.5000	 1.92	       3751.4 
1968.8	  1.5000	 1.87	       3689.3 
1987.5	  1.5000	 1.82	       3626.3 
2006.2	  1.5000	 1.78	       3562.5 
2025.0	  1.5000	 1.73	       3497.8 
2043.8	  1.5000	 1.68	       3432.3 
2062.5	  1.5000	 1.63	       3365.8 
2081.2	  1.5000	 1.58	       3298.5 
2100.0	  1.5000	 1.54	       3230.3 
2118.8	  1.5000	 1.49	       3161.2 
2137.5	  1.5000	 1.45	       3091.2 
2156.2	  1.5000	 1.40	       3020.4 
2175.0	  1.5000	 1.36	       2948.6 
2193.8	  1.5000	 1.31	       2875.9 
2212.5	  1.5000	 1.27	       2802.3 
2231.2	  1.5000	 1.22	       2727.8 
2250.0	  1.5000	 1.18	       2652.4 
2268.8	  1.5000	 1.14	       2576.2 
2287.5	  1.5000	 1.09	       2499.2 
2306.2	  1.5000	 1.05	       2421.3 
2325.0	  1.5000	 1.01	       2342.7 
2343.8	  1.5000	 0.97	       2263.5 
2362.5	  1.5000	 0.92	       2183.6 
2381.2	  1.5000	 0.88	       2103.1 
2400.0	  1.5000	 0.84	       2022.2 
2418.8	  1.5000	 0.80	       1940.9 
2437.5	  1.5000	 0.76	       1859.3 
2456.2	  1.5000	 0.72	       1777.6 
2475.0	  1.5000	 0.69	       1695.9 
2493.8	  1.5000	 0.65	       1614.5 
2512.5	  1.5000	 0.61	       1533.3 
2531.2	  1.5000	 0.57	       1452.8 
2550.0	  1.5000	 0.54	       1372.9 
2568.8	  1.5000	 0.50	       1294.1 
2587.5	  1.5000	 0.47	       1216.4 
2606.2	  1.5000	 0.44	       1140.1 
2625.0	  1.5000	 0.41	       1065.5 
2643.8	  1.5000	 0.38	       992.7 
2662.5	  1.5000	 0.35	       922.0 
2681.2	  1.5000	 0.32	       853.5 
2700.0	  1.5000	 0.29	       787.4 
2718.8	  1.5000	 0.27	       724.0 
2737.5	  1.5000	 0.24	       663.2 
2756.2	  1.5000	 0.22	       605.3 
2775.0	  1.5000	 0.20	       550.2 
2793.8	  1.5000	 0.18	       497.9 
2812.5	  1.5000	 0.16	       448.4 
2831.2	  1.5000	 0.14	       401.6 
2850.0	  1.5000	 0.13	       357.3 
2868.8	  1.5000	 0.11	       315.2 
2887.5	  1.5000	 0.10	       274.9 
2906.2	  1.5000	 0.08	       235.9 
2925.0	  1.5000	 0.07	       197.2 
2943.8	  1.5000	 0.05	       157.5 
2962.5	  1.5000	 0.04	       114.5 
2981.2	  1.5000	 0.02	       64.4 
