# rho	    A	        veq	       Qeq	  
0.0	  0.0050	 10.80	       0.0 
18.8	  0.0050	 10.80	       202.4 
37.5	  0.0050	 10.79	       404.5 
56.2	  0.0050	 10.77	       605.9 
75.0	  0.0050	 10.75	       806.2 
93.8	  0.0050	 10.72	       1004.9 
112.5	  0.0050	 10.68	       1201.8 
131.2	  0.0050	 10.64	       1396.5 
150.0	  0.0050	 10.59	       1588.5 
168.8	  0.0050	 10.53	       1777.6 
187.5	  0.0050	 10.47	       1963.3 
206.2	  0.0050	 10.40	       2145.4 
225.0	  0.0050	 10.33	       2323.5 
243.8	  0.0050	 10.25	       2497.4 
262.5	  0.0050	 10.16	       2666.8 
281.2	  0.0050	 10.07	       2831.6 
300.0	  0.0050	 9.97	       2991.4 
318.8	  0.0050	 9.87	       3146.2 
337.5	  0.0050	 9.77	       3295.9 
356.2	  0.0050	 9.66	       3440.3 
375.0	  0.0050	 9.54	       3579.4 
393.8	  0.0050	 9.43	       3713.0 
412.5	  0.0050	 9.31	       3841.3 
431.2	  0.0050	 9.19	       3964.2 
450.0	  0.0050	 9.07	       4081.7 
468.8	  0.0050	 8.95	       4193.9 
487.5	  0.0050	 8.82	       4300.8 
506.2	  0.0050	 8.70	       4402.5 
525.0	  0.0050	 8.57	       4499.0 
543.8	  0.0050	 8.44	       4590.5 
562.5	  0.0050	 8.31	       4677.0 
581.2	  0.0050	 8.19	       4758.7 
600.0	  0.0050	 8.06	       4835.7 
618.8	  0.0050	 7.93	       4908.1 
637.5	  0.0050	 7.81	       4976.0 
656.2	  0.0050	 7.68	       5039.4 
675.0	  0.0050	 7.55	       5098.7 
693.8	  0.0050	 7.43	       5153.8 
712.5	  0.0050	 7.31	       5204.9 
731.2	  0.0050	 7.18	       5252.1 
750.0	  0.0050	 7.06	       5295.5 
768.8	  0.0050	 6.94	       5335.3 
787.5	  0.0050	 6.82	       5371.5 
806.2	  0.0050	 6.70	       5404.3 
825.0	  0.0050	 6.59	       5433.8 
843.8	  0.0050	 6.47	       5460.1 
862.5	  0.0050	 6.36	       5483.3 
881.2	  0.0050	 6.25	       5503.5 
900.0	  0.0050	 6.13	       5520.7 
918.8	  0.0050	 6.02	       5535.2 
937.5	  0.0050	 5.92	       5547.0 
956.2	  0.0050	 5.81	       5556.1 
975.0	  0.0050	 5.71	       5562.7 
993.8	  0.0050	 5.60	       5566.8 
