# rho	    A	        veq	       Qeq	  
0.0	  0.0050	 118.80	       0.0 
0.9	  0.0050	 118.77	       103.9 
1.8	  0.0050	 118.67	       207.7 
2.6	  0.0050	 118.50	       311.1 
3.5	  0.0051	 118.26	       413.9 
4.4	  0.0051	 117.95	       516.0 
5.2	  0.0051	 117.57	       617.2 
6.1	  0.0051	 117.11	       717.3 
7.0	  0.0051	 116.58	       816.1 
7.9	  0.0051	 115.98	       913.3 
8.8	  0.0051	 115.30	       1008.9 
9.6	  0.0052	 114.54	       1102.5 
10.5	  0.0052	 113.72	       1194.0 
11.4	  0.0052	 112.81	       1283.3 
12.2	  0.0052	 111.84	       1370.0 
13.1	  0.0053	 110.79	       1454.1 
14.0	  0.0053	 109.66	       1535.3 
14.9	  0.0054	 108.46	       1613.3 
15.8	  0.0054	 107.18	       1688.1 
16.6	  0.0055	 105.83	       1759.4 
17.5	  0.0056	 104.39	       1826.8 
18.4	  0.0057	 102.87	       1890.2 
19.2	  0.0058	 101.26	       1949.2 
20.1	  0.0060	 99.56	       2003.6 
21.0	  0.0061	 97.76	       2053.0 
21.9	  0.0063	 95.86	       2097.0 
22.8	  0.0065	 93.86	       2135.3 
23.6	  0.0068	 91.75	       2167.6 
24.5	  0.0070	 89.53	       2193.5 
25.4	  0.0073	 87.20	       2212.7 
26.3	  0.0077	 84.76	       2225.0 
27.1	  0.0081	 82.22	       2230.2 
28.0	  0.0086	 79.59	       2228.4 
28.9	  0.0091	 76.87	       2219.7 
29.8	  0.0097	 74.09	       2204.3 
30.6	  0.0103	 71.27	       2182.6 
31.5	  0.0111	 68.42	       2155.2 
32.4	  0.0118	 65.57	       2122.9 
33.2	  0.0127	 62.75	       2086.3 
34.1	  0.0136	 59.97	       2046.4 
35.0	  0.0146	 57.26	       2004.1 
35.9	  0.0157	 54.64	       1960.2 
36.8	  0.0168	 52.12	       1915.6 
37.6	  0.0179	 49.73	       1871.0 
38.5	  0.0191	 47.45	       1827.0 
39.4	  0.0202	 45.31	       1784.3 
40.2	  0.0214	 43.31	       1743.1 
41.1	  0.0226	 41.43	       1704.0 
42.0	  0.0237	 39.69	       1666.9 
42.9	  0.0248	 38.07	       1632.1 
43.8	  0.0258	 36.56	       1599.5 
44.6	  0.0267	 35.17	       1569.2 
45.5	  0.0276	 33.87	       1541.1 
46.4	  0.0285	 32.67	       1514.9 
47.2	  0.0292	 31.55	       1490.7 
48.1	  0.0299	 30.51	       1468.1 
49.0	  0.0306	 29.53	       1447.1 
49.9	  0.0311	 28.62	       1427.5 
50.8	  0.0316	 27.77	       1409.1 
51.6	  0.0321	 26.96	       1391.7 
52.5	  0.0324	 26.20	       1375.3 
53.4	  0.0328	 25.47	       1359.7 
54.3	  0.0331	 24.79	       1344.8 
55.1	  0.0333	 24.13	       1330.4 
56.0	  0.0336	 23.51	       1316.6 
56.9	  0.0338	 22.91	       1303.1 
57.8	  0.0339	 22.34	       1290.0 
58.6	  0.0341	 21.78	       1277.1 
59.5	  0.0342	 21.25	       1264.4 
60.4	  0.0343	 20.74	       1252.0 
61.3	  0.0344	 20.24	       1239.6 
62.1	  0.0345	 19.76	       1227.3 
63.0	  0.0346	 19.29	       1215.2 
63.9	  0.0346	 18.83	       1203.0 
64.8	  0.0347	 18.39	       1190.9 
65.6	  0.0347	 17.96	       1178.8 
66.5	  0.0348	 17.54	       1166.6 
67.4	  0.0348	 17.14	       1154.5 
68.2	  0.0348	 16.74	       1142.3 
69.1	  0.0349	 16.35	       1130.1 
70.0	  0.0349	 15.97	       1117.8 
70.9	  0.0349	 15.60	       1105.5 
71.8	  0.0349	 15.23	       1093.1 
72.6	  0.0349	 14.88	       1080.7 
73.5	  0.0349	 14.53	       1068.2 
74.4	  0.0349	 14.19	       1055.6 
75.3	  0.0350	 13.86	       1043.0 
76.1	  0.0350	 13.53	       1030.3 
77.0	  0.0350	 13.21	       1017.5 
77.9	  0.0350	 12.90	       1004.7 
78.8	  0.0350	 12.59	       991.8 
79.6	  0.0350	 12.29	       978.8 
80.5	  0.0350	 12.00	       965.7 
81.4	  0.0350	 11.71	       952.6 
82.3	  0.0350	 11.42	       939.4 
83.1	  0.0350	 11.14	       926.2 
84.0	  0.0350	 10.87	       912.9 
84.9	  0.0350	 10.60	       899.5 
85.8	  0.0350	 10.33	       886.0 
86.6	  0.0350	 10.07	       872.5 
87.5	  0.0350	 9.82	       858.9 
88.4	  0.0350	 9.56	       845.2 
89.3	  0.0350	 9.32	       831.5 
90.1	  0.0350	 9.07	       817.7 
91.0	  0.0350	 8.83	       803.8 
91.9	  0.0350	 8.60	       789.8 
92.8	  0.0350	 8.36	       775.8 
93.6	  0.0350	 8.14	       761.7 
94.5	  0.0350	 7.91	       747.6 
95.4	  0.0350	 7.69	       733.3 
96.3	  0.0350	 7.47	       719.0 
97.1	  0.0350	 7.26	       704.7 
98.0	  0.0350	 7.04	       690.2 
98.9	  0.0350	 6.83	       675.7 
99.8	  0.0350	 6.63	       661.1 
100.6	  0.0350	 6.42	       646.4 
101.5	  0.0350	 6.22	       631.6 
102.4	  0.0350	 6.02	       616.8 
103.3	  0.0350	 5.83	       601.9 
104.1	  0.0350	 5.64	       586.9 
105.0	  0.0350	 5.45	       571.8 
105.9	  0.0350	 5.26	       556.7 
106.8	  0.0350	 5.07	       541.5 
107.6	  0.0350	 4.89	       526.2 
108.5	  0.0350	 4.71	       510.9 
109.4	  0.0350	 4.53	       495.5 
110.2	  0.0350	 4.35	       480.0 
111.1	  0.0350	 4.18	       464.5 
112.0	  0.0350	 4.01	       448.9 
112.9	  0.0350	 3.84	       433.3 
113.8	  0.0350	 3.67	       417.6 
114.6	  0.0350	 3.51	       401.9 
115.5	  0.0350	 3.34	       386.2 
116.4	  0.0350	 3.18	       370.5 
117.2	  0.0350	 3.03	       354.9 
118.1	  0.0350	 2.87	       339.2 
119.0	  0.0350	 2.72	       323.6 
119.9	  0.0350	 2.57	       308.0 
120.8	  0.0350	 2.42	       292.6 
121.6	  0.0350	 2.28	       277.2 
122.5	  0.0350	 2.14	       262.0 
123.4	  0.0350	 2.00	       246.9 
124.3	  0.0350	 1.87	       232.0 
125.1	  0.0350	 1.74	       217.3 
126.0	  0.0350	 1.61	       202.8 
126.9	  0.0350	 1.49	       188.6 
127.8	  0.0350	 1.37	       174.7 
128.6	  0.0350	 1.25	       161.0 
129.5	  0.0350	 1.14	       147.6 
130.4	  0.0350	 1.03	       134.6 
131.3	  0.0350	 0.93	       121.9 
132.1	  0.0350	 0.83	       109.4 
133.0	  0.0350	 0.73	       97.3 
133.9	  0.0350	 0.64	       85.4 
134.8	  0.0350	 0.55	       73.8 
135.6	  0.0350	 0.46	       62.3 
136.5	  0.0350	 0.37	       50.7 
137.4	  0.0350	 0.28	       39.1 
138.2	  0.0350	 0.20	       27.0 
139.1	  0.0350	 0.10	       14.1 
140.0	  0.0350	 0.00	       0.0 
