# rho	    A	        veq	       Qeq	  
0.0	  0.0100	 118.80	       0.0 
0.9	  0.0100	 118.73	       103.9 
1.8	  0.0100	 118.52	       207.4 
2.6	  0.0100	 118.16	       310.2 
3.5	  0.0100	 117.65	       411.8 
4.4	  0.0100	 117.00	       511.9 
5.2	  0.0100	 116.21	       610.1 
6.1	  0.0100	 115.29	       706.1 
7.0	  0.0100	 114.23	       799.6 
7.9	  0.0100	 113.06	       890.4 
8.8	  0.0100	 111.78	       978.0 
9.6	  0.0101	 110.39	       1062.5 
10.5	  0.0101	 108.92	       1143.6 
11.4	  0.0101	 107.36	       1221.3 
12.2	  0.0101	 105.74	       1295.3 
13.1	  0.0101	 104.06	       1365.7 
14.0	  0.0101	 102.32	       1432.5 
14.9	  0.0101	 100.54	       1495.6 
15.8	  0.0102	 98.73	       1555.0 
16.6	  0.0102	 96.88	       1610.7 
17.5	  0.0103	 95.02	       1662.8 
18.4	  0.0103	 93.13	       1711.2 
19.2	  0.0104	 91.22	       1756.0 
20.1	  0.0104	 89.30	       1797.1 
21.0	  0.0105	 87.36	       1834.6 
21.9	  0.0106	 85.41	       1868.4 
22.8	  0.0107	 83.45	       1898.4 
23.6	  0.0108	 81.46	       1924.6 
24.5	  0.0110	 79.46	       1946.8 
25.4	  0.0112	 77.44	       1965.0 
26.3	  0.0114	 75.40	       1979.2 
27.1	  0.0116	 73.33	       1989.0 
28.0	  0.0119	 71.24	       1994.6 
28.9	  0.0122	 69.12	       1995.9 
29.8	  0.0126	 66.98	       1992.8 
30.6	  0.0130	 64.83	       1985.4 
31.5	  0.0135	 62.67	       1974.0 
32.4	  0.0140	 60.50	       1958.8 
33.2	  0.0145	 58.35	       1940.1 
34.1	  0.0151	 56.22	       1918.5 
35.0	  0.0158	 54.13	       1894.5 
35.9	  0.0164	 52.09	       1868.6 
36.8	  0.0171	 50.11	       1841.5 
37.6	  0.0179	 48.21	       1813.8 
38.5	  0.0186	 46.39	       1785.9 
39.4	  0.0193	 44.66	       1758.5 
40.2	  0.0200	 43.03	       1731.8 
41.1	  0.0206	 41.49	       1706.2 
42.0	  0.0212	 40.04	       1681.8 
42.9	  0.0218	 38.69	       1658.7 
43.8	  0.0223	 37.42	       1637.0 
44.6	  0.0228	 36.23	       1616.7 
45.5	  0.0232	 35.11	       1597.6 
46.4	  0.0236	 34.06	       1579.7 
47.2	  0.0240	 33.08	       1562.9 
48.1	  0.0243	 32.15	       1547.0 
49.0	  0.0245	 31.26	       1531.9 
49.9	  0.0247	 30.43	       1517.6 
50.8	  0.0249	 29.63	       1503.8 
51.6	  0.0251	 28.87	       1490.5 
52.5	  0.0252	 28.14	       1477.5 
53.4	  0.0254	 27.45	       1464.9 
54.3	  0.0255	 26.77	       1452.5 
55.1	  0.0255	 26.13	       1440.3 
56.0	  0.0256	 25.50	       1428.2 
56.9	  0.0257	 24.90	       1416.2 
57.8	  0.0257	 24.32	       1404.2 
58.6	  0.0258	 23.75	       1392.3 
59.5	  0.0258	 23.20	       1380.3 
60.4	  0.0258	 22.66	       1368.3 
61.3	  0.0259	 22.14	       1356.2 
62.1	  0.0259	 21.63	       1344.0 
63.0	  0.0259	 21.14	       1331.8 
63.9	  0.0259	 20.66	       1319.5 
64.8	  0.0259	 20.19	       1307.1 
65.6	  0.0259	 19.73	       1294.6 
66.5	  0.0260	 19.28	       1282.0 
67.4	  0.0260	 18.84	       1269.3 
68.2	  0.0260	 18.41	       1256.5 
69.1	  0.0260	 17.99	       1243.6 
70.0	  0.0260	 17.58	       1230.5 
70.9	  0.0260	 17.18	       1217.4 
71.8	  0.0260	 16.78	       1204.2 
72.6	  0.0260	 16.40	       1190.8 
73.5	  0.0260	 16.02	       1177.4 
74.4	  0.0260	 15.65	       1163.9 
75.3	  0.0260	 15.29	       1150.2 
76.1	  0.0260	 14.93	       1136.5 
77.0	  0.0260	 14.58	       1122.6 
77.9	  0.0260	 14.24	       1108.7 
78.8	  0.0260	 13.90	       1094.7 
79.6	  0.0260	 13.57	       1080.5 
80.5	  0.0260	 13.25	       1066.3 
81.4	  0.0260	 12.93	       1052.0 
82.3	  0.0260	 12.62	       1037.6 
83.1	  0.0260	 12.31	       1023.1 
84.0	  0.0260	 12.01	       1008.5 
84.9	  0.0260	 11.71	       993.9 
85.8	  0.0260	 11.42	       979.1 
86.6	  0.0260	 11.13	       964.2 
87.5	  0.0260	 10.85	       949.3 
88.4	  0.0260	 10.57	       934.3 
89.3	  0.0260	 10.30	       919.2 
90.1	  0.0260	 10.03	       904.0 
91.0	  0.0260	 9.77	       888.7 
91.9	  0.0260	 9.51	       873.3 
92.8	  0.0260	 9.25	       857.9 
93.6	  0.0260	 9.00	       842.4 
94.5	  0.0260	 8.75	       826.7 
95.4	  0.0260	 8.50	       811.0 
96.3	  0.0260	 8.26	       795.2 
97.1	  0.0260	 8.02	       779.3 
98.0	  0.0260	 7.79	       763.3 
98.9	  0.0260	 7.56	       747.2 
99.8	  0.0260	 7.33	       731.0 
100.6	  0.0260	 7.10	       714.7 
101.5	  0.0260	 6.88	       698.4 
102.4	  0.0260	 6.66	       681.9 
103.3	  0.0260	 6.44	       665.4 
104.1	  0.0260	 6.23	       648.7 
105.0	  0.0260	 6.02	       632.0 
105.9	  0.0260	 5.81	       615.2 
106.8	  0.0260	 5.60	       598.2 
107.6	  0.0260	 5.40	       581.2 
108.5	  0.0260	 5.20	       564.2 
109.4	  0.0260	 5.00	       547.0 
110.2	  0.0260	 4.80	       529.7 
111.1	  0.0260	 4.61	       512.4 
112.0	  0.0260	 4.42	       495.1 
112.9	  0.0260	 4.23	       477.6 
113.8	  0.0260	 4.05	       460.2 
114.6	  0.0260	 3.86	       442.7 
115.5	  0.0260	 3.68	       425.2 
116.4	  0.0260	 3.50	       407.7 
117.2	  0.0260	 3.33	       390.2 
118.1	  0.0260	 3.16	       372.7 
119.0	  0.0260	 2.99	       355.3 
119.9	  0.0260	 2.82	       338.0 
120.8	  0.0260	 2.66	       320.8 
121.6	  0.0260	 2.50	       303.7 
122.5	  0.0260	 2.34	       286.8 
123.4	  0.0260	 2.19	       270.0 
124.3	  0.0260	 2.04	       253.5 
125.1	  0.0260	 1.90	       237.2 
126.0	  0.0260	 1.76	       221.2 
126.9	  0.0260	 1.62	       205.5 
127.8	  0.0260	 1.49	       190.2 
128.6	  0.0260	 1.36	       175.2 
129.5	  0.0260	 1.24	       160.5 
130.4	  0.0260	 1.12	       146.2 
131.3	  0.0260	 1.01	       132.3 
132.1	  0.0260	 0.90	       118.8 
133.0	  0.0260	 0.79	       105.7 
133.9	  0.0260	 0.69	       92.8 
134.8	  0.0260	 0.60	       80.2 
135.6	  0.0260	 0.50	       67.8 
136.5	  0.0260	 0.41	       55.4 
137.4	  0.0260	 0.31	       42.7 
138.2	  0.0260	 0.21	       29.6 
139.1	  0.0260	 0.11	       15.6 
140.0	  0.0260	 0.00	       0.0 
