# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 118.80	       0.0 
0.9	  0.0080	 118.76	       103.9 
1.8	  0.0080	 118.63	       207.6 
2.6	  0.0080	 118.41	       310.8 
3.5	  0.0080	 118.09	       413.3 
4.4	  0.0080	 117.69	       514.9 
5.2	  0.0081	 117.19	       615.3 
6.1	  0.0081	 116.60	       714.2 
7.0	  0.0081	 115.92	       811.4 
7.9	  0.0081	 115.15	       906.8 
8.8	  0.0081	 114.29	       1000.0 
9.6	  0.0081	 113.35	       1091.0 
10.5	  0.0082	 112.32	       1179.4 
11.4	  0.0082	 111.22	       1265.1 
12.2	  0.0082	 110.03	       1347.9 
13.1	  0.0083	 108.78	       1427.7 
14.0	  0.0083	 107.45	       1504.3 
14.9	  0.0084	 106.05	       1577.5 
15.8	  0.0084	 104.59	       1647.2 
16.6	  0.0085	 103.05	       1713.2 
17.5	  0.0086	 101.44	       1775.2 
18.4	  0.0087	 99.76	       1833.2 
19.2	  0.0089	 98.01	       1886.7 
20.1	  0.0091	 96.18	       1935.5 
21.0	  0.0093	 94.26	       1979.4 
21.9	  0.0095	 92.25	       2018.0 
22.8	  0.0098	 90.15	       2050.9 
23.6	  0.0101	 87.95	       2077.8 
24.5	  0.0105	 85.64	       2098.2 
25.4	  0.0109	 83.23	       2111.9 
26.3	  0.0115	 80.71	       2118.6 
27.1	  0.0121	 78.08	       2118.0 
28.0	  0.0128	 75.37	       2110.2 
28.9	  0.0136	 72.57	       2095.3 
29.8	  0.0145	 69.70	       2073.7 
30.6	  0.0155	 66.80	       2045.7 
31.5	  0.0167	 63.88	       2012.2 
32.4	  0.0179	 60.98	       1974.1 
33.2	  0.0193	 58.11	       1932.3 
34.1	  0.0208	 55.32	       1887.9 
35.0	  0.0224	 52.63	       1842.1 
35.9	  0.0241	 50.05	       1795.7 
36.8	  0.0259	 47.61	       1749.8 
37.6	  0.0276	 45.32	       1705.1 
38.5	  0.0294	 43.17	       1662.2 
39.4	  0.0312	 41.18	       1621.6 
40.2	  0.0329	 39.34	       1583.6 
41.1	  0.0345	 37.65	       1548.3 
42.0	  0.0361	 36.09	       1515.7 
42.9	  0.0375	 34.65	       1485.8 
43.8	  0.0388	 33.34	       1458.5 
44.6	  0.0400	 32.12	       1433.5 
45.5	  0.0411	 31.00	       1410.6 
46.4	  0.0421	 29.97	       1389.6 
47.2	  0.0429	 29.00	       1370.4 
48.1	  0.0437	 28.11	       1352.6 
49.0	  0.0443	 27.27	       1336.1 
49.9	  0.0449	 26.48	       1320.7 
50.8	  0.0453	 25.74	       1306.1 
51.6	  0.0458	 25.03	       1292.4 
52.5	  0.0461	 24.37	       1279.2 
53.4	  0.0464	 23.73	       1266.6 
54.3	  0.0467	 23.12	       1254.4 
55.1	  0.0469	 22.54	       1242.5 
56.0	  0.0470	 21.98	       1230.9 
56.9	  0.0472	 21.44	       1219.4 
57.8	  0.0473	 20.92	       1208.2 
58.6	  0.0474	 20.42	       1197.0 
59.5	  0.0475	 19.93	       1185.9 
60.4	  0.0476	 19.46	       1174.9 
61.3	  0.0477	 19.00	       1163.8 
62.1	  0.0477	 18.56	       1152.8 
63.0	  0.0478	 18.12	       1141.7 
63.9	  0.0478	 17.70	       1130.6 
64.8	  0.0478	 17.29	       1119.5 
65.6	  0.0479	 16.89	       1108.3 
66.5	  0.0479	 16.50	       1097.1 
67.4	  0.0479	 16.12	       1085.8 
68.2	  0.0479	 15.74	       1074.5 
69.1	  0.0479	 15.38	       1063.1 
70.0	  0.0479	 15.02	       1051.6 
70.9	  0.0480	 14.67	       1040.0 
71.8	  0.0480	 14.33	       1028.4 
72.6	  0.0480	 14.00	       1016.7 
73.5	  0.0480	 13.67	       1004.9 
74.4	  0.0480	 13.35	       993.1 
75.3	  0.0480	 13.04	       981.2 
76.1	  0.0480	 12.73	       969.2 
77.0	  0.0480	 12.43	       957.2 
77.9	  0.0480	 12.14	       945.1 
78.8	  0.0480	 11.85	       932.9 
79.6	  0.0480	 11.56	       920.6 
80.5	  0.0480	 11.28	       908.3 
81.4	  0.0480	 11.01	       895.9 
82.3	  0.0480	 10.74	       883.5 
83.1	  0.0480	 10.48	       871.0 
84.0	  0.0480	 10.22	       858.4 
84.9	  0.0480	 9.97	       845.8 
85.8	  0.0480	 9.72	       833.1 
86.6	  0.0480	 9.47	       820.3 
87.5	  0.0480	 9.23	       807.5 
88.4	  0.0480	 8.99	       794.6 
89.3	  0.0480	 8.76	       781.7 
90.1	  0.0480	 8.53	       768.7 
91.0	  0.0480	 8.30	       755.6 
91.9	  0.0480	 8.08	       742.5 
92.8	  0.0480	 7.86	       729.3 
93.6	  0.0480	 7.65	       716.0 
94.5	  0.0480	 7.44	       702.7 
95.4	  0.0480	 7.23	       689.3 
96.3	  0.0480	 7.02	       675.9 
97.1	  0.0480	 6.82	       662.3 
98.0	  0.0480	 6.62	       648.8 
98.9	  0.0480	 6.42	       635.1 
99.8	  0.0480	 6.23	       621.4 
100.6	  0.0480	 6.04	       607.6 
101.5	  0.0480	 5.85	       593.8 
102.4	  0.0480	 5.66	       579.9 
103.3	  0.0480	 5.48	       565.9 
104.1	  0.0480	 5.30	       551.8 
105.0	  0.0480	 5.12	       537.7 
105.9	  0.0480	 4.94	       523.5 
106.8	  0.0480	 4.77	       509.3 
107.6	  0.0480	 4.60	       495.0 
108.5	  0.0480	 4.43	       480.6 
109.4	  0.0480	 4.26	       466.2 
110.2	  0.0480	 4.10	       451.7 
111.1	  0.0480	 3.93	       437.2 
112.0	  0.0480	 3.77	       422.6 
112.9	  0.0480	 3.61	       408.0 
113.8	  0.0480	 3.46	       393.3 
114.6	  0.0480	 3.30	       378.7 
115.5	  0.0480	 3.15	       364.0 
116.4	  0.0480	 3.00	       349.3 
117.2	  0.0480	 2.85	       334.6 
118.1	  0.0480	 2.71	       320.0 
119.0	  0.0480	 2.57	       305.4 
119.9	  0.0480	 2.43	       290.8 
120.8	  0.0480	 2.29	       276.4 
121.6	  0.0480	 2.15	       262.0 
122.5	  0.0480	 2.02	       247.7 
123.4	  0.0480	 1.89	       233.6 
124.3	  0.0480	 1.77	       219.6 
125.1	  0.0480	 1.64	       205.8 
126.0	  0.0480	 1.53	       192.2 
126.9	  0.0480	 1.41	       178.8 
127.8	  0.0480	 1.30	       165.6 
128.6	  0.0480	 1.19	       152.7 
129.5	  0.0480	 1.08	       140.1 
130.4	  0.0480	 0.98	       127.8 
131.3	  0.0480	 0.88	       115.7 
132.1	  0.0480	 0.79	       103.9 
133.0	  0.0480	 0.69	       92.4 
133.9	  0.0480	 0.61	       81.1 
134.8	  0.0480	 0.52	       70.0 
135.6	  0.0480	 0.44	       59.0 
136.5	  0.0480	 0.35	       48.1 
137.4	  0.0480	 0.27	       36.9 
138.2	  0.0480	 0.18	       25.5 
139.1	  0.0480	 0.10	       13.3 
140.0	  0.0480	 0.00	       0.0 
