# rho	    A	        veq	       Qeq	  
0.0	  0.0100	 118.80	       0.0 
0.9	  0.0100	 118.69	       103.9 
1.8	  0.0100	 118.36	       207.1 
2.6	  0.0100	 117.82	       309.3 
3.5	  0.0100	 117.05	       409.7 
4.4	  0.0100	 116.08	       507.8 
5.2	  0.0100	 114.91	       603.3 
6.1	  0.0100	 113.56	       695.6 
7.0	  0.0100	 112.05	       784.4 
7.9	  0.0100	 110.40	       869.4 
8.8	  0.0100	 108.62	       950.5 
9.6	  0.0100	 106.75	       1027.5 
10.5	  0.0100	 104.79	       1100.3 
11.4	  0.0100	 102.77	       1169.0 
12.2	  0.0100	 100.70	       1233.6 
13.1	  0.0100	 98.61	       1294.2 
14.0	  0.0100	 96.49	       1350.9 
14.9	  0.0100	 94.37	       1403.8 
15.8	  0.0100	 92.26	       1453.1 
16.6	  0.0100	 90.16	       1498.8 
17.5	  0.0100	 88.07	       1541.3 
18.4	  0.0100	 86.02	       1580.6 
19.2	  0.0100	 83.99	       1616.9 
20.1	  0.0100	 82.00	       1650.3 
21.0	  0.0100	 80.05	       1681.1 
21.9	  0.0100	 78.14	       1709.2 
22.8	  0.0100	 76.26	       1735.0 
23.6	  0.0100	 74.43	       1758.5 
24.5	  0.0100	 72.64	       1779.7 
25.4	  0.0100	 70.89	       1798.9 
26.3	  0.0100	 69.19	       1816.1 
27.1	  0.0100	 67.52	       1831.4 
28.0	  0.0100	 65.89	       1844.9 
28.9	  0.0101	 64.30	       1856.5 
29.8	  0.0101	 62.74	       1866.4 
30.6	  0.0101	 61.21	       1874.5 
31.5	  0.0101	 59.71	       1880.8 
32.4	  0.0102	 58.23	       1885.3 
33.2	  0.0102	 56.78	       1887.9 
34.1	  0.0103	 55.34	       1888.3 
35.0	  0.0104	 53.90	       1886.6 
35.9	  0.0105	 52.47	       1882.3 
36.8	  0.0106	 51.03	       1875.4 
37.6	  0.0107	 49.57	       1865.2 
38.5	  0.0109	 48.09	       1851.6 
39.4	  0.0112	 46.58	       1834.1 
40.2	  0.0115	 45.03	       1812.3 
41.1	  0.0119	 43.42	       1785.8 
42.0	  0.0124	 41.77	       1754.5 
42.9	  0.0130	 40.08	       1718.3 
43.8	  0.0136	 38.34	       1677.5 
44.6	  0.0145	 36.59	       1632.8 
45.5	  0.0154	 34.84	       1585.1 
46.4	  0.0164	 33.11	       1535.5 
47.2	  0.0176	 31.44	       1485.5 
48.1	  0.0188	 29.84	       1436.3 
49.0	  0.0200	 28.35	       1389.2 
49.9	  0.0212	 26.97	       1345.1 
50.8	  0.0224	 25.71	       1304.7 
51.6	  0.0236	 24.56	       1268.1 
52.5	  0.0246	 23.53	       1235.5 
53.4	  0.0255	 22.61	       1206.6 
54.3	  0.0264	 21.77	       1181.1 
55.1	  0.0270	 21.02	       1158.6 
56.0	  0.0276	 20.33	       1138.6 
56.9	  0.0281	 19.70	       1120.7 
57.8	  0.0285	 19.12	       1104.4 
58.6	  0.0288	 18.59	       1089.6 
59.5	  0.0291	 18.08	       1075.9 
60.4	  0.0293	 17.61	       1063.0 
61.3	  0.0294	 17.16	       1050.8 
62.1	  0.0295	 16.72	       1039.0 
63.0	  0.0296	 16.31	       1027.7 
63.9	  0.0297	 15.92	       1016.6 
64.8	  0.0298	 15.53	       1005.7 
65.6	  0.0298	 15.16	       995.0 
66.5	  0.0299	 14.80	       984.3 
67.4	  0.0299	 14.45	       973.7 
68.2	  0.0299	 14.11	       963.2 
69.1	  0.0299	 13.78	       952.6 
70.0	  0.0300	 13.46	       942.0 
70.9	  0.0300	 13.14	       931.4 
71.8	  0.0300	 12.83	       920.8 
72.6	  0.0300	 12.53	       910.1 
73.5	  0.0300	 12.24	       899.4 
74.4	  0.0300	 11.95	       888.7 
75.3	  0.0300	 11.67	       877.9 
76.1	  0.0300	 11.39	       867.0 
77.0	  0.0300	 11.12	       856.1 
77.9	  0.0300	 10.85	       845.2 
78.8	  0.0300	 10.59	       834.2 
79.6	  0.0300	 10.34	       823.1 
80.5	  0.0300	 10.09	       812.0 
81.4	  0.0300	 9.84	       800.8 
82.3	  0.0300	 9.60	       789.6 
83.1	  0.0300	 9.36	       778.4 
84.0	  0.0300	 9.13	       767.1 
84.9	  0.0300	 8.90	       755.7 
85.8	  0.0300	 8.68	       744.3 
86.6	  0.0300	 8.46	       732.8 
