# rho	    A	        veq	       Qeq	  
0.0	  0.0100	 118.80	       0.0 
0.9	  0.0100	 118.71	       103.9 
1.8	  0.0100	 118.46	       207.3 
2.6	  0.0100	 118.02	       309.8 
3.5	  0.0100	 117.41	       410.9 
4.4	  0.0100	 116.63	       510.3 
5.2	  0.0100	 115.69	       607.3 
6.1	  0.0100	 114.59	       701.8 
7.0	  0.0100	 113.34	       793.4 
7.9	  0.0100	 111.97	       881.8 
8.8	  0.0100	 110.48	       966.7 
9.6	  0.0100	 108.89	       1048.1 
10.5	  0.0100	 107.21	       1125.7 
11.4	  0.0100	 105.46	       1199.6 
12.2	  0.0100	 103.65	       1269.7 
13.1	  0.0100	 101.80	       1336.1 
14.0	  0.0100	 99.91	       1398.7 
14.9	  0.0100	 97.99	       1457.6 
15.8	  0.0100	 96.06	       1513.0 
16.6	  0.0100	 94.13	       1564.9 
17.5	  0.0100	 92.20	       1613.4 
18.4	  0.0100	 90.27	       1658.8 
19.2	  0.0100	 88.36	       1701.0 
20.1	  0.0100	 86.47	       1740.2 
21.0	  0.0100	 84.60	       1776.7 
21.9	  0.0100	 82.76	       1810.3 
22.8	  0.0100	 80.94	       1841.4 
23.6	  0.0100	 79.15	       1870.0 
24.5	  0.0100	 77.40	       1896.3 
25.4	  0.0100	 75.67	       1920.2 
26.3	  0.0100	 73.98	       1942.0 
27.1	  0.0100	 72.32	       1961.6 
28.0	  0.0100	 70.69	       1979.2 
28.9	  0.0101	 69.08	       1994.8 
29.8	  0.0101	 67.51	       2008.4 
30.6	  0.0101	 65.96	       2020.0 
31.5	  0.0101	 64.43	       2029.6 
32.4	  0.0102	 62.92	       2037.2 
33.2	  0.0102	 61.43	       2042.6 
34.1	  0.0103	 59.95	       2045.7 
35.0	  0.0104	 58.47	       2046.4 
35.9	  0.0105	 56.98	       2044.3 
36.8	  0.0106	 55.49	       2039.2 
37.6	  0.0107	 53.97	       2030.7 
38.5	  0.0109	 52.42	       2018.3 
39.4	  0.0112	 50.84	       2001.7 
40.2	  0.0115	 49.20	       1980.3 
41.1	  0.0119	 47.51	       1953.8 
42.0	  0.0124	 45.76	       1922.0 
42.9	  0.0130	 43.96	       1884.8 
43.8	  0.0136	 42.11	       1842.5 
44.6	  0.0145	 40.24	       1795.7 
45.5	  0.0154	 38.36	       1745.4 
46.4	  0.0164	 36.50	       1692.9 
47.2	  0.0176	 34.70	       1639.6 
48.1	  0.0188	 32.98	       1587.1 
49.0	  0.0200	 31.36	       1536.6 
49.9	  0.0212	 29.86	       1489.2 
50.8	  0.0224	 28.49	       1445.7 
51.6	  0.0236	 27.24	       1406.2 
52.5	  0.0246	 26.11	       1371.0 
53.4	  0.0255	 25.10	       1339.7 
54.3	  0.0264	 24.19	       1312.1 
55.1	  0.0270	 23.36	       1287.7 
56.0	  0.0276	 22.61	       1266.0 
56.9	  0.0281	 21.92	       1246.6 
57.8	  0.0285	 21.28	       1229.0 
58.6	  0.0288	 20.69	       1212.9 
59.5	  0.0291	 20.13	       1197.9 
60.4	  0.0293	 19.61	       1183.9 
61.3	  0.0294	 19.11	       1170.6 
62.1	  0.0295	 18.64	       1157.9 
63.0	  0.0296	 18.18	       1145.5 
63.9	  0.0297	 17.74	       1133.4 
64.8	  0.0298	 17.32	       1121.6 
65.6	  0.0298	 16.91	       1109.8 
66.5	  0.0299	 16.51	       1098.2 
67.4	  0.0299	 16.13	       1086.6 
68.2	  0.0299	 15.75	       1075.0 
69.1	  0.0299	 15.38	       1063.4 
70.0	  0.0300	 15.03	       1051.8 
70.9	  0.0300	 14.68	       1040.2 
71.8	  0.0300	 14.33	       1028.5 
72.6	  0.0300	 14.00	       1016.7 
73.5	  0.0300	 13.67	       1004.9 
74.4	  0.0300	 13.35	       993.1 
75.3	  0.0300	 13.04	       981.2 
76.1	  0.0300	 12.73	       969.2 
77.0	  0.0300	 12.43	       957.1 
77.9	  0.0300	 12.14	       945.0 
78.8	  0.0300	 11.85	       932.9 
79.6	  0.0300	 11.56	       920.6 
80.5	  0.0300	 11.28	       908.3 
81.4	  0.0300	 11.01	       895.9 
82.3	  0.0300	 10.74	       883.5 
83.1	  0.0300	 10.48	       871.0 
84.0	  0.0300	 10.22	       858.4 
84.9	  0.0300	 9.97	       845.8 
85.8	  0.0300	 9.72	       833.1 
86.6	  0.0300	 9.47	       820.3 
87.5	  0.0300	 9.23	       807.5 
88.4	  0.0300	 8.99	       794.6 
89.3	  0.0300	 8.76	       781.7 
90.1	  0.0300	 8.53	       768.7 
91.0	  0.0300	 8.30	       755.6 
91.9	  0.0300	 8.08	       742.5 
92.8	  0.0300	 7.86	       729.3 
93.6	  0.0300	 7.65	       716.0 
94.5	  0.0300	 7.44	       702.7 
95.4	  0.0300	 7.23	       689.3 
96.3	  0.0300	 7.02	       675.9 
97.1	  0.0300	 6.82	       662.3 
98.0	  0.0300	 6.62	       648.8 
98.9	  0.0300	 6.42	       635.1 
99.8	  0.0300	 6.23	       621.4 
100.6	  0.0300	 6.04	       607.6 
101.5	  0.0300	 5.85	       593.8 
102.4	  0.0300	 5.66	       579.9 
103.3	  0.0300	 5.48	       565.9 
104.1	  0.0300	 5.30	       551.8 
105.0	  0.0300	 5.12	       537.7 
105.9	  0.0300	 4.94	       523.5 
106.8	  0.0300	 4.77	       509.3 
107.6	  0.0300	 4.60	       495.0 
108.5	  0.0300	 4.43	       480.6 
109.4	  0.0300	 4.26	       466.2 
110.2	  0.0300	 4.10	       451.7 
111.1	  0.0300	 3.93	       437.2 
112.0	  0.0300	 3.77	       422.6 
112.9	  0.0300	 3.61	       408.0 
113.8	  0.0300	 3.46	       393.3 
114.6	  0.0300	 3.30	       378.7 
115.5	  0.0300	 3.15	       364.0 
116.4	  0.0300	 3.00	       349.3 
117.2	  0.0300	 2.85	       334.6 
118.1	  0.0300	 2.71	       320.0 
119.0	  0.0300	 2.57	       305.4 
119.9	  0.0300	 2.43	       290.8 
120.8	  0.0300	 2.29	       276.4 
121.6	  0.0300	 2.15	       262.0 
122.5	  0.0300	 2.02	       247.7 
123.4	  0.0300	 1.89	       233.6 
124.3	  0.0300	 1.77	       219.6 
125.1	  0.0300	 1.64	       205.8 
126.0	  0.0300	 1.53	       192.2 
126.9	  0.0300	 1.41	       178.8 
127.8	  0.0300	 1.30	       165.6 
128.6	  0.0300	 1.19	       152.7 
129.5	  0.0300	 1.08	       140.1 
130.4	  0.0300	 0.98	       127.8 
131.3	  0.0300	 0.88	       115.7 
132.1	  0.0300	 0.79	       103.9 
133.0	  0.0300	 0.69	       92.4 
133.9	  0.0300	 0.61	       81.1 
134.8	  0.0300	 0.52	       70.0 
135.6	  0.0300	 0.44	       59.0 
136.5	  0.0300	 0.35	       48.1 
137.4	  0.0300	 0.27	       36.9 
138.2	  0.0300	 0.18	       25.5 
139.1	  0.0300	 0.10	       13.3 
140.0	  0.0300	 0.00	       0.0 
