# rho	    A	        veq	       Qeq	  
0.0	  0.0120	 144.00	       0.0 
0.9	  0.0120	 143.83	       125.8 
1.8	  0.0120	 143.31	       250.8 
2.6	  0.0120	 142.45	       373.9 
3.5	  0.0120	 141.25	       494.4 
4.4	  0.0120	 139.74	       611.3 
5.2	  0.0120	 137.94	       724.2 
6.1	  0.0120	 135.89	       832.3 
7.0	  0.0120	 133.62	       935.4 
7.9	  0.0120	 131.17	       1033.0 
8.8	  0.0120	 128.58	       1125.1 
9.6	  0.0120	 125.88	       1211.6 
10.5	  0.0120	 123.10	       1292.5 
11.4	  0.0120	 120.26	       1368.0 
12.2	  0.0120	 117.40	       1438.2 
13.1	  0.0120	 114.54	       1503.3 
14.0	  0.0120	 111.68	       1563.6 
14.9	  0.0120	 108.85	       1619.2 
15.8	  0.0120	 106.06	       1670.4 
16.6	  0.0120	 103.31	       1717.6 
17.5	  0.0120	 100.62	       1760.8 
18.4	  0.0120	 97.98	       1800.4 
19.2	  0.0120	 95.41	       1836.6 
20.1	  0.0120	 92.90	       1869.6 
21.0	  0.0120	 90.46	       1899.6 
21.9	  0.0120	 88.08	       1926.7 
22.8	  0.0120	 85.77	       1951.2 
23.6	  0.0120	 83.52	       1973.2 
24.5	  0.0120	 81.34	       1992.9 
25.4	  0.0120	 79.22	       2010.3 
26.3	  0.0121	 77.17	       2025.6 
27.1	  0.0121	 75.17	       2038.9 
28.0	  0.0121	 73.23	       2050.4 
28.9	  0.0121	 71.34	       2060.0 
29.8	  0.0121	 69.51	       2067.8 
30.6	  0.0121	 67.72	       2074.0 
31.5	  0.0122	 65.98	       2078.4 
32.4	  0.0122	 64.29	       2081.3 
33.2	  0.0122	 62.63	       2082.5 
34.1	  0.0123	 61.01	       2082.1 
35.0	  0.0123	 59.43	       2080.1 
35.9	  0.0124	 57.88	       2076.3 
36.8	  0.0125	 56.35	       2070.8 
37.6	  0.0126	 54.84	       2063.5 
38.5	  0.0127	 53.36	       2054.3 
39.4	  0.0128	 51.89	       2043.0 
40.2	  0.0129	 50.43	       2029.7 
41.1	  0.0131	 48.97	       2014.0 
42.0	  0.0133	 47.52	       1995.9 
42.9	  0.0135	 46.07	       1975.3 
43.8	  0.0138	 44.62	       1952.0 
44.6	  0.0141	 43.16	       1925.9 
45.5	  0.0145	 41.69	       1897.0 
46.4	  0.0150	 40.22	       1865.4 
47.2	  0.0154	 38.75	       1831.0 
48.1	  0.0160	 37.28	       1794.0 
49.0	  0.0166	 35.81	       1754.8 
49.9	  0.0173	 34.36	       1713.6 
50.8	  0.0181	 32.93	       1671.0 
51.6	  0.0190	 31.52	       1627.3 
52.5	  0.0199	 30.16	       1583.2 
53.4	  0.0209	 28.84	       1539.2 
54.3	  0.0219	 27.57	       1495.9 
55.1	  0.0229	 26.37	       1453.7 
56.0	  0.0240	 25.23	       1413.1 
56.9	  0.0251	 24.17	       1374.4 
57.8	  0.0261	 23.17	       1337.8 
58.6	  0.0271	 22.23	       1303.5 
59.5	  0.0281	 21.37	       1271.4 
60.4	  0.0290	 20.57	       1241.6 
61.3	  0.0299	 19.82	       1214.0 
62.1	  0.0307	 19.13	       1188.5 
63.0	  0.0314	 18.49	       1164.8 
63.9	  0.0320	 17.89	       1142.8 
64.8	  0.0326	 17.33	       1122.4 
65.6	  0.0330	 16.81	       1103.2 
66.5	  0.0335	 16.32	       1085.3 
67.4	  0.0339	 15.86	       1068.3 
68.2	  0.0342	 15.42	       1052.2 
69.1	  0.0345	 15.00	       1036.8 
70.0	  0.0347	 14.60	       1022.0 
70.9	  0.0349	 14.22	       1007.7 
71.8	  0.0351	 13.85	       993.9 
72.6	  0.0352	 13.50	       980.4 
73.5	  0.0353	 13.16	       967.1 
74.4	  0.0354	 12.83	       954.2 
75.3	  0.0355	 12.51	       941.3 
76.1	  0.0356	 12.20	       928.7 
77.0	  0.0357	 11.90	       916.1 
77.9	  0.0357	 11.60	       903.7 
78.8	  0.0358	 11.32	       891.3 
79.6	  0.0358	 11.04	       878.9 
80.5	  0.0358	 10.77	       866.6 
81.4	  0.0359	 10.50	       854.3 
82.3	  0.0359	 10.24	       842.0 
83.1	  0.0359	 9.98	       829.7 
84.0	  0.0359	 9.73	       817.4 
84.9	  0.0359	 9.48	       805.0 
85.8	  0.0359	 9.24	       792.7 
86.6	  0.0360	 9.01	       780.3 
87.5	  0.0360	 8.78	       767.9 
88.4	  0.0360	 8.55	       755.5 
89.3	  0.0360	 8.32	       743.0 
90.1	  0.0360	 8.11	       730.5 
91.0	  0.0360	 7.89	       717.9 
91.9	  0.0360	 7.68	       705.4 
92.8	  0.0360	 7.47	       692.7 
93.6	  0.0360	 7.26	       680.1 
94.5	  0.0360	 7.06	       667.4 
95.4	  0.0360	 6.86	       654.6 
96.3	  0.0360	 6.67	       641.8 
97.1	  0.0360	 6.48	       629.0 
98.0	  0.0360	 6.29	       616.1 
98.9	  0.0360	 6.10	       603.1 
99.8	  0.0360	 5.92	       590.1 
100.6	  0.0360	 5.74	       577.1 
101.5	  0.0360	 5.56	       564.0 
102.4	  0.0360	 5.38	       550.9 
103.3	  0.0360	 5.21	       537.7 
104.1	  0.0360	 5.04	       524.5 
105.0	  0.0360	 4.87	       511.2 
105.9	  0.0360	 4.70	       497.9 
106.8	  0.0360	 4.54	       484.5 
107.6	  0.0360	 4.38	       471.1 
108.5	  0.0360	 4.22	       457.6 
109.4	  0.0360	 4.06	       444.1 
110.2	  0.0360	 3.91	       430.6 
111.1	  0.0360	 3.75	       417.0 
112.0	  0.0360	 3.60	       403.4 
112.9	  0.0360	 3.45	       389.7 
113.8	  0.0360	 3.31	       376.0 
114.6	  0.0360	 3.16	       362.3 
115.5	  0.0360	 3.02	       348.6 
116.4	  0.0360	 2.88	       334.9 
117.2	  0.0360	 2.74	       321.2 
118.1	  0.0360	 2.60	       307.6 
119.0	  0.0360	 2.47	       293.9 
119.9	  0.0360	 2.34	       280.3 
120.8	  0.0360	 2.21	       266.7 
121.6	  0.0360	 2.08	       253.2 
122.5	  0.0360	 1.96	       239.8 
123.4	  0.0360	 1.84	       226.5 
124.3	  0.0360	 1.72	       213.3 
125.1	  0.0360	 1.60	       200.2 
126.0	  0.0360	 1.49	       187.3 
126.9	  0.0360	 1.38	       174.5 
127.8	  0.0360	 1.27	       162.0 
128.6	  0.0360	 1.16	       149.6 
129.5	  0.0360	 1.06	       137.4 
130.4	  0.0360	 0.96	       125.5 
131.3	  0.0360	 0.87	       113.7 
132.1	  0.0360	 0.77	       102.2 
133.0	  0.0360	 0.68	       90.9 
133.9	  0.0360	 0.60	       79.7 
134.8	  0.0360	 0.51	       68.7 
135.6	  0.0360	 0.43	       57.8 
136.5	  0.0360	 0.34	       46.8 
137.4	  0.0360	 0.26	       35.8 
138.2	  0.0360	 0.18	       24.5 
139.1	  0.0360	 0.09	       12.7 
140.0	  0.0360	 0.00	       0.0 
