# rho	    A	        veq	       Qeq	  
0.0	  0.0120	 118.80	       0.0 
0.9	  0.0120	 118.70	       103.9 
1.8	  0.0120	 118.41	       207.2 
2.6	  0.0120	 117.92	       309.5 
3.5	  0.0120	 117.24	       410.3 
4.4	  0.0120	 116.36	       509.1 
5.2	  0.0120	 115.31	       605.4 
6.1	  0.0120	 114.08	       698.8 
7.0	  0.0120	 112.71	       789.0 
7.9	  0.0120	 111.19	       875.7 
8.8	  0.0120	 109.56	       958.7 
9.6	  0.0120	 107.83	       1037.8 
10.5	  0.0120	 106.01	       1113.1 
11.4	  0.0120	 104.12	       1184.3 
12.2	  0.0120	 102.17	       1251.6 
13.1	  0.0120	 100.19	       1315.0 
14.0	  0.0120	 98.18	       1374.5 
14.9	  0.0120	 96.15	       1430.3 
15.8	  0.0120	 94.12	       1482.5 
16.6	  0.0120	 92.10	       1531.1 
17.5	  0.0120	 90.08	       1576.4 
18.4	  0.0120	 88.08	       1618.4 
19.2	  0.0120	 86.10	       1657.4 
20.1	  0.0120	 84.15	       1693.4 
21.0	  0.0120	 82.22	       1726.6 
21.9	  0.0121	 80.33	       1757.2 
22.8	  0.0121	 78.47	       1785.1 
23.6	  0.0121	 76.64	       1810.7 
24.5	  0.0121	 74.85	       1833.9 
25.4	  0.0121	 73.10	       1854.8 
26.3	  0.0121	 71.38	       1873.7 
27.1	  0.0121	 69.69	       1890.4 
28.0	  0.0122	 68.04	       1905.2 
28.9	  0.0122	 66.43	       1918.1 
29.8	  0.0122	 64.84	       1929.1 
30.6	  0.0123	 63.29	       1938.2 
31.5	  0.0123	 61.76	       1945.6 
32.4	  0.0123	 60.27	       1951.1 
33.2	  0.0124	 58.79	       1954.9 
34.1	  0.0125	 57.34	       1956.8 
35.0	  0.0126	 55.91	       1957.0 
35.9	  0.0126	 54.50	       1955.2 
36.8	  0.0127	 53.11	       1951.6 
37.6	  0.0129	 51.72	       1946.1 
38.5	  0.0130	 50.35	       1938.5 
39.4	  0.0132	 48.99	       1928.8 
40.2	  0.0134	 47.63	       1917.0 
41.1	  0.0136	 46.27	       1903.0 
42.0	  0.0138	 44.92	       1886.6 
42.9	  0.0141	 43.57	       1867.9 
43.8	  0.0144	 42.21	       1846.8 
44.6	  0.0148	 40.86	       1823.4 
45.5	  0.0152	 39.51	       1797.6 
46.4	  0.0156	 38.16	       1769.6 
47.2	  0.0162	 36.81	       1739.5 
48.1	  0.0167	 35.48	       1707.4 
49.0	  0.0173	 34.16	       1673.7 
49.9	  0.0180	 32.86	       1638.7 
50.8	  0.0188	 31.58	       1602.6 
51.6	  0.0195	 30.33	       1565.8 
52.5	  0.0204	 29.12	       1528.7 
53.4	  0.0212	 27.95	       1491.7 
54.3	  0.0221	 26.82	       1455.1 
55.1	  0.0231	 25.75	       1419.4 
56.0	  0.0240	 24.73	       1384.6 
56.9	  0.0249	 23.76	       1351.1 
57.8	  0.0259	 22.84	       1319.1 
58.6	  0.0268	 21.98	       1288.6 
59.5	  0.0276	 21.17	       1259.7 
