# rho	    A	        veq	       Qeq	  
0.0	  0.0120	 118.80	       0.0 
0.9	  0.0120	 118.70	       103.9 
1.8	  0.0120	 118.41	       207.2 
2.6	  0.0120	 117.92	       309.5 
3.5	  0.0120	 117.24	       410.3 
4.4	  0.0120	 116.36	       509.1 
5.2	  0.0120	 115.31	       605.4 
6.1	  0.0120	 114.08	       698.8 
7.0	  0.0120	 112.71	       789.0 
7.9	  0.0120	 111.20	       875.7 
8.8	  0.0120	 109.56	       958.7 
9.6	  0.0120	 107.83	       1037.9 
10.5	  0.0120	 106.01	       1113.1 
11.4	  0.0120	 104.12	       1184.4 
12.2	  0.0120	 102.18	       1251.7 
13.1	  0.0120	 100.20	       1315.1 
14.0	  0.0120	 98.19	       1374.7 
14.9	  0.0120	 96.17	       1430.5 
15.8	  0.0120	 94.14	       1482.7 
16.6	  0.0120	 92.12	       1531.4 
17.5	  0.0120	 90.10	       1576.8 
18.4	  0.0120	 88.11	       1618.9 
19.2	  0.0120	 86.13	       1658.0 
20.1	  0.0120	 84.18	       1694.2 
21.0	  0.0120	 82.26	       1727.6 
21.9	  0.0120	 80.38	       1758.3 
22.8	  0.0120	 78.53	       1786.5 
23.6	  0.0120	 76.71	       1812.3 
24.5	  0.0120	 74.93	       1835.8 
25.4	  0.0120	 73.19	       1857.2 
26.3	  0.0121	 71.48	       1876.4 
27.1	  0.0121	 69.81	       1893.7 
28.0	  0.0121	 68.18	       1909.1 
28.9	  0.0121	 66.58	       1922.6 
29.8	  0.0121	 65.02	       1934.3 
30.6	  0.0121	 63.49	       1944.4 
31.5	  0.0122	 61.99	       1952.7 
32.4	  0.0122	 60.52	       1959.3 
33.2	  0.0122	 59.08	       1964.3 
34.1	  0.0123	 57.66	       1967.6 
35.0	  0.0123	 56.26	       1969.3 
35.9	  0.0124	 54.89	       1969.2 
36.8	  0.0125	 53.53	       1967.4 
37.6	  0.0126	 52.19	       1963.7 
38.5	  0.0127	 50.86	       1958.1 
39.4	  0.0128	 49.54	       1950.5 
40.2	  0.0129	 48.22	       1940.7 
41.1	  0.0131	 46.90	       1928.7 
42.0	  0.0133	 45.58	       1914.3 
42.9	  0.0135	 44.25	       1897.4 
43.8	  0.0138	 42.92	       1877.8 
44.6	  0.0141	 41.58	       1855.5 
45.5	  0.0145	 40.23	       1830.3 
46.4	  0.0150	 38.87	       1802.4 
47.2	  0.0154	 37.50	       1771.7 
48.1	  0.0160	 36.12	       1738.5 
49.0	  0.0166	 34.75	       1702.8 
49.9	  0.0173	 33.39	       1665.2 
50.8	  0.0181	 32.04	       1625.9 
51.6	  0.0190	 30.71	       1585.5 
52.5	  0.0199	 29.42	       1544.4 
53.4	  0.0209	 28.17	       1503.3 
54.3	  0.0219	 26.96	       1462.7 
55.1	  0.0229	 25.81	       1423.0 
56.0	  0.0240	 24.73	       1384.6 
56.9	  0.0251	 23.70	       1347.9 
57.8	  0.0261	 22.74	       1313.2 
58.6	  0.0271	 21.84	       1280.5 
59.5	  0.0281	 21.01	       1250.0 
