# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 118.80	       0.0 
0.9	  0.0080	 118.76	       103.9 
1.8	  0.0080	 118.64	       207.6 
2.6	  0.0080	 118.45	       310.9 
3.5	  0.0080	 118.16	       413.6 
4.4	  0.0080	 117.80	       515.4 
5.2	  0.0080	 117.35	       616.1 
6.1	  0.0080	 116.82	       715.5 
7.0	  0.0081	 116.20	       813.4 
7.9	  0.0081	 115.51	       909.6 
8.8	  0.0081	 114.73	       1003.9 
9.6	  0.0081	 113.87	       1096.0 
10.5	  0.0081	 112.94	       1185.8 
11.4	  0.0081	 111.93	       1273.2 
12.2	  0.0082	 110.85	       1357.9 
13.1	  0.0082	 109.71	       1439.9 
14.0	  0.0082	 108.49	       1518.9 
14.9	  0.0083	 107.21	       1594.8 
15.8	  0.0083	 105.87	       1667.5 
16.6	  0.0084	 104.47	       1736.8 
17.5	  0.0085	 103.00	       1802.5 
18.4	  0.0086	 101.47	       1864.5 
19.2	  0.0087	 99.87	       1922.5 
20.1	  0.0088	 98.21	       1976.4 
21.0	  0.0089	 96.47	       2025.8 
21.9	  0.0091	 94.65	       2070.6 
22.8	  0.0093	 92.76	       2110.3 
23.6	  0.0096	 90.78	       2144.6 
24.5	  0.0099	 88.71	       2173.3 
25.4	  0.0102	 86.54	       2195.9 
26.3	  0.0106	 84.27	       2212.1 
27.1	  0.0111	 81.91	       2221.7 
28.0	  0.0116	 79.45	       2224.5 
28.9	  0.0122	 76.90	       2220.5 
29.8	  0.0129	 74.28	       2209.7 
30.6	  0.0136	 71.59	       2192.5 
31.5	  0.0145	 68.86	       2169.2 
32.4	  0.0155	 66.12	       2140.7 
33.2	  0.0165	 63.39	       2107.6 
34.1	  0.0176	 60.69	       2071.0 
35.0	  0.0188	 58.05	       2031.8 
35.9	  0.0201	 55.50	       1991.0 
36.8	  0.0214	 53.05	       1949.6 
37.6	  0.0227	 50.72	       1908.5 
38.5	  0.0241	 48.53	       1868.3 
39.4	  0.0254	 46.47	       1829.6 
40.2	  0.0267	 44.54	       1792.9 
41.1	  0.0279	 42.76	       1758.4 
42.0	  0.0291	 41.10	       1726.2 
42.9	  0.0301	 39.57	       1696.4 
43.8	  0.0311	 38.15	       1668.9 
44.6	  0.0320	 36.83	       1643.5 
45.5	  0.0328	 35.61	       1620.2 
46.4	  0.0336	 34.47	       1598.7 
47.2	  0.0342	 33.41	       1578.8 
48.1	  0.0347	 32.42	       1560.4 
49.0	  0.0352	 31.49	       1543.1 
49.9	  0.0356	 30.62	       1526.9 
50.8	  0.0360	 29.79	       1511.6 
51.6	  0.0363	 29.00	       1497.0 
52.5	  0.0366	 28.25	       1483.0 
53.4	  0.0368	 27.53	       1469.5 
54.3	  0.0370	 26.84	       1456.3 
55.1	  0.0372	 26.19	       1443.5 
56.0	  0.0373	 25.55	       1430.9 
56.9	  0.0374	 24.94	       1418.4 
57.8	  0.0375	 24.35	       1406.1 
58.6	  0.0376	 23.77	       1393.8 
59.5	  0.0376	 23.22	       1381.5 
60.4	  0.0377	 22.68	       1369.3 
61.3	  0.0378	 22.16	       1357.1 
62.1	  0.0378	 21.65	       1344.8 
63.0	  0.0378	 21.15	       1332.4 
63.9	  0.0379	 20.67	       1320.0 
64.8	  0.0379	 20.19	       1307.5 
65.6	  0.0379	 19.73	       1295.0 
66.5	  0.0379	 19.28	       1282.3 
67.4	  0.0379	 18.84	       1269.5 
68.2	  0.0379	 18.41	       1256.7 
69.1	  0.0379	 17.99	       1243.7 
70.0	  0.0380	 17.58	       1230.7 
70.9	  0.0380	 17.18	       1217.5 
71.8	  0.0380	 16.78	       1204.3 
72.6	  0.0380	 16.40	       1190.9 
73.5	  0.0380	 16.02	       1177.5 
74.4	  0.0380	 15.65	       1163.9 
75.3	  0.0380	 15.29	       1150.3 
76.1	  0.0380	 14.93	       1136.5 
77.0	  0.0380	 14.58	       1122.7 
77.9	  0.0380	 14.24	       1108.7 
78.8	  0.0380	 13.90	       1094.7 
79.6	  0.0380	 13.57	       1080.5 
80.5	  0.0380	 13.25	       1066.3 
81.4	  0.0380	 12.93	       1052.0 
82.3	  0.0380	 12.62	       1037.6 
83.1	  0.0380	 12.31	       1023.1 
84.0	  0.0380	 12.01	       1008.5 
84.9	  0.0380	 11.71	       993.9 
85.8	  0.0380	 11.42	       979.1 
86.6	  0.0380	 11.13	       964.3 
87.5	  0.0380	 10.85	       949.3 
88.4	  0.0380	 10.57	       934.3 
89.3	  0.0380	 10.30	       919.2 
90.1	  0.0380	 10.03	       904.0 
91.0	  0.0380	 9.77	       888.7 
91.9	  0.0380	 9.51	       873.4 
92.8	  0.0380	 9.25	       857.9 
93.6	  0.0380	 9.00	       842.4 
94.5	  0.0380	 8.75	       826.7 
95.4	  0.0380	 8.50	       811.0 
96.3	  0.0380	 8.26	       795.2 
97.1	  0.0380	 8.02	       779.3 
98.0	  0.0380	 7.79	       763.3 
98.9	  0.0380	 7.56	       747.2 
99.8	  0.0380	 7.33	       731.0 
100.6	  0.0380	 7.10	       714.7 
101.5	  0.0380	 6.88	       698.4 
102.4	  0.0380	 6.66	       681.9 
103.3	  0.0380	 6.44	       665.4 
104.1	  0.0380	 6.23	       648.7 
105.0	  0.0380	 6.02	       632.0 
105.9	  0.0380	 5.81	       615.2 
106.8	  0.0380	 5.60	       598.2 
107.6	  0.0380	 5.40	       581.2 
108.5	  0.0380	 5.20	       564.2 
109.4	  0.0380	 5.00	       547.0 
110.2	  0.0380	 4.80	       529.7 
111.1	  0.0380	 4.61	       512.4 
112.0	  0.0380	 4.42	       495.1 
112.9	  0.0380	 4.23	       477.6 
113.8	  0.0380	 4.05	       460.2 
114.6	  0.0380	 3.86	       442.7 
115.5	  0.0380	 3.68	       425.2 
116.4	  0.0380	 3.50	       407.7 
117.2	  0.0380	 3.33	       390.2 
118.1	  0.0380	 3.16	       372.7 
119.0	  0.0380	 2.99	       355.3 
119.9	  0.0380	 2.82	       338.0 
120.8	  0.0380	 2.66	       320.8 
121.6	  0.0380	 2.50	       303.7 
122.5	  0.0380	 2.34	       286.8 
123.4	  0.0380	 2.19	       270.0 
124.3	  0.0380	 2.04	       253.5 
125.1	  0.0380	 1.90	       237.2 
126.0	  0.0380	 1.76	       221.2 
126.9	  0.0380	 1.62	       205.5 
127.8	  0.0380	 1.49	       190.2 
128.6	  0.0380	 1.36	       175.2 
129.5	  0.0380	 1.24	       160.5 
130.4	  0.0380	 1.12	       146.2 
131.3	  0.0380	 1.01	       132.3 
132.1	  0.0380	 0.90	       118.8 
133.0	  0.0380	 0.79	       105.7 
133.9	  0.0380	 0.69	       92.8 
134.8	  0.0380	 0.60	       80.2 
135.6	  0.0380	 0.50	       67.8 
136.5	  0.0380	 0.41	       55.4 
137.4	  0.0380	 0.31	       42.7 
138.2	  0.0380	 0.21	       29.6 
139.1	  0.0380	 0.11	       15.6 
140.0	  0.0380	 0.00	       0.0 
