# rho	    A	        veq	       Qeq	  
0.0	  0.0082	 110.00	       0.0 
1.0	  0.0082	 109.94	       109.9 
2.0	  0.0082	 109.77	       219.5 
3.0	  0.0083	 109.47	       328.4 
4.0	  0.0083	 109.05	       436.2 
5.0	  0.0083	 108.50	       542.5 
6.0	  0.0084	 107.83	       647.0 
7.0	  0.0084	 107.04	       749.2 
8.0	  0.0085	 106.12	       848.9 
9.0	  0.0085	 105.08	       945.7 
10.0	  0.0086	 103.93	       1039.3 
11.0	  0.0087	 102.67	       1129.3 
12.0	  0.0088	 101.30	       1215.6 
13.0	  0.0089	 99.83	       1297.8 
14.0	  0.0090	 98.26	       1375.7 
15.0	  0.0091	 96.61	       1449.1 
16.0	  0.0093	 94.86	       1517.8 
17.0	  0.0095	 93.03	       1581.6 
18.0	  0.0096	 91.13	       1640.3 
19.0	  0.0099	 89.15	       1693.8 
20.0	  0.0101	 87.10	       1742.0 
21.0	  0.0103	 84.98	       1784.6 
22.0	  0.0106	 82.81	       1821.7 
23.0	  0.0110	 80.57	       1853.2 
24.0	  0.0113	 78.29	       1879.0 
25.0	  0.0117	 75.96	       1899.0 
26.0	  0.0122	 73.59	       1913.5 
27.0	  0.0127	 71.20	       1922.3 
28.0	  0.0132	 68.78	       1925.8 
29.0	  0.0138	 66.35	       1924.1 
30.0	  0.0144	 63.91	       1917.4 
31.0	  0.0151	 61.49	       1906.1 
32.0	  0.0159	 59.08	       1890.6 
33.0	  0.0167	 56.71	       1871.3 
34.0	  0.0176	 54.37	       1848.6 
35.0	  0.0186	 52.09	       1823.1 
36.0	  0.0196	 49.87	       1795.2 
37.0	  0.0206	 47.71	       1765.4 
38.0	  0.0217	 45.64	       1734.2 
39.0	  0.0229	 43.64	       1702.0 
40.0	  0.0241	 41.73	       1669.3 
41.0	  0.0253	 39.91	       1636.5 
42.0	  0.0265	 38.19	       1603.9 
43.0	  0.0278	 36.55	       1571.7 
44.0	  0.0290	 35.01	       1540.3 
45.0	  0.0302	 33.55	       1509.8 
46.0	  0.0315	 32.18	       1480.4 
47.0	  0.0327	 30.90	       1452.1 
48.0	  0.0338	 29.69	       1425.0 
49.0	  0.0349	 28.55	       1399.2 
50.0	  0.0360	 27.49	       1374.6 
51.0	  0.0370	 26.50	       1351.3 
52.0	  0.0380	 25.56	       1329.2 
53.0	  0.0389	 24.68	       1308.2 
54.0	  0.0398	 23.86	       1288.2 
55.0	  0.0406	 23.08	       1269.3 
56.0	  0.0413	 22.35	       1251.4 
57.0	  0.0420	 21.65	       1234.2 
58.0	  0.0426	 21.00	       1217.9 
59.0	  0.0431	 20.38	       1202.3 
60.0	  0.0436	 19.79	       1187.3 
61.0	  0.0441	 19.23	       1172.8 
62.0	  0.0445	 18.69	       1158.9 
63.0	  0.0449	 18.18	       1145.4 
64.0	  0.0452	 17.69	       1132.4 
65.0	  0.0455	 17.23	       1119.6 
66.0	  0.0458	 16.78	       1107.2 
67.0	  0.0461	 16.34	       1095.1 
68.0	  0.0463	 15.93	       1083.1 
69.0	  0.0465	 15.53	       1071.4 
70.0	  0.0466	 15.14	       1059.8 
71.0	  0.0468	 14.77	       1048.3 
72.0	  0.0469	 14.40	       1037.0 
73.0	  0.0471	 14.05	       1025.8 
74.0	  0.0472	 13.71	       1014.6 
75.0	  0.0473	 13.38	       1003.5 
76.0	  0.0473	 13.06	       992.5 
77.0	  0.0474	 12.75	       981.5 
78.0	  0.0475	 12.44	       970.5 
79.0	  0.0475	 12.15	       959.5 
80.0	  0.0476	 11.86	       948.5 
81.0	  0.0476	 11.57	       937.5 
82.0	  0.0477	 11.30	       926.6 
83.0	  0.0477	 11.03	       915.6 
84.0	  0.0478	 10.77	       904.6 
85.0	  0.0478	 10.51	       893.6 
86.0	  0.0478	 10.26	       882.5 
87.0	  0.0478	 10.02	       871.5 
88.0	  0.0479	 9.78	       860.4 
89.0	  0.0479	 9.54	       849.3 
90.0	  0.0479	 9.31	       838.1 
91.0	  0.0479	 9.09	       827.0 
92.0	  0.0479	 8.87	       815.8 
93.0	  0.0479	 8.65	       804.6 
94.0	  0.0479	 8.44	       793.3 
95.0	  0.0479	 8.23	       782.0 
96.0	  0.0479	 8.03	       770.7 
97.0	  0.0480	 7.83	       759.3 
98.0	  0.0480	 7.63	       748.0 
99.0	  0.0480	 7.44	       736.5 
100.0	  0.0480	 7.25	       725.1 
101.0	  0.0480	 7.07	       713.6 
102.0	  0.0480	 6.88	       702.1 
103.0	  0.0480	 6.70	       690.6 
104.0	  0.0480	 6.53	       679.0 
105.0	  0.0480	 6.36	       667.5 
106.0	  0.0480	 6.19	       655.8 
107.0	  0.0480	 6.02	       644.2 
108.0	  0.0480	 5.86	       632.5 
109.0	  0.0480	 5.70	       620.8 
110.0	  0.0480	 5.54	       609.1 
111.0	  0.0480	 5.38	       597.4 
112.0	  0.0480	 5.23	       585.6 
113.0	  0.0480	 5.08	       573.8 
114.0	  0.0480	 4.93	       562.0 
115.0	  0.0480	 4.78	       550.2 
116.0	  0.0480	 4.64	       538.3 
117.0	  0.0480	 4.50	       526.4 
118.0	  0.0480	 4.36	       514.5 
119.0	  0.0480	 4.22	       502.6 
120.0	  0.0480	 4.09	       490.6 
121.0	  0.0480	 3.96	       478.7 
122.0	  0.0480	 3.83	       466.7 
123.0	  0.0480	 3.70	       454.7 
124.0	  0.0480	 3.57	       442.6 
125.0	  0.0480	 3.44	       430.6 
126.0	  0.0480	 3.32	       418.5 
127.0	  0.0480	 3.20	       406.5 
128.0	  0.0480	 3.08	       394.4 
129.0	  0.0480	 2.96	       382.2 
130.0	  0.0480	 2.85	       370.1 
131.0	  0.0480	 2.73	       358.0 
132.0	  0.0480	 2.62	       345.8 
133.0	  0.0480	 2.51	       333.6 
134.0	  0.0480	 2.40	       321.4 
135.0	  0.0480	 2.29	       309.2 
136.0	  0.0480	 2.18	       297.0 
137.0	  0.0480	 2.08	       284.8 
138.0	  0.0480	 1.97	       272.5 
139.0	  0.0480	 1.87	       260.3 
140.0	  0.0480	 1.77	       248.0 
141.0	  0.0480	 1.67	       235.7 
142.0	  0.0480	 1.57	       223.4 
143.0	  0.0480	 1.48	       211.1 
144.0	  0.0480	 1.38	       198.7 
145.0	  0.0480	 1.29	       186.4 
146.0	  0.0480	 1.19	       174.0 
147.0	  0.0480	 1.10	       161.7 
148.0	  0.0480	 1.01	       149.3 
149.0	  0.0480	 0.92	       136.9 
150.0	  0.0480	 0.83	       124.5 
151.0	  0.0480	 0.74	       112.1 
152.0	  0.0480	 0.66	       99.7 
153.0	  0.0480	 0.57	       87.3 
154.0	  0.0480	 0.49	       74.8 
155.0	  0.0480	 0.40	       62.4 
156.0	  0.0480	 0.32	       49.9 
157.0	  0.0480	 0.24	       37.5 
158.0	  0.0480	 0.16	       25.0 
159.0	  0.0480	 0.08	       12.5 
160.0	  0.0480	 0.00	       0.0 
