# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 110.00	       0.0 
1.0	  0.0080	 109.94	       109.9 
2.0	  0.0080	 109.77	       219.5 
3.0	  0.0080	 109.49	       328.5 
4.0	  0.0080	 109.08	       436.3 
5.0	  0.0080	 108.56	       542.8 
6.0	  0.0080	 107.92	       647.5 
7.0	  0.0080	 107.18	       750.2 
8.0	  0.0080	 106.32	       850.6 
9.0	  0.0080	 105.37	       948.3 
10.0	  0.0080	 104.32	       1043.2 
11.0	  0.0080	 103.18	       1135.0 
12.0	  0.0080	 101.96	       1223.6 
13.0	  0.0080	 100.67	       1308.8 
14.0	  0.0080	 99.32	       1390.5 
15.0	  0.0080	 97.91	       1468.7 
16.0	  0.0080	 96.45	       1543.2 
17.0	  0.0081	 94.95	       1614.1 
18.0	  0.0081	 93.40	       1681.2 
19.0	  0.0081	 91.82	       1744.7 
20.0	  0.0081	 90.22	       1804.3 
21.0	  0.0082	 88.58	       1860.2 
22.0	  0.0082	 86.91	       1912.1 
23.0	  0.0083	 85.22	       1960.0 
24.0	  0.0083	 83.49	       2003.8 
25.0	  0.0084	 81.72	       2043.1 
26.0	  0.0085	 79.91	       2077.6 
27.0	  0.0087	 78.03	       2106.9 
28.0	  0.0089	 76.09	       2130.5 
29.0	  0.0091	 74.06	       2147.7 
30.0	  0.0094	 71.93	       2157.8 
31.0	  0.0098	 69.67	       2159.8 
32.0	  0.0103	 67.28	       2153.1 
33.0	  0.0109	 64.75	       2136.9 
34.0	  0.0116	 62.08	       2110.6 
35.0	  0.0126	 59.27	       2074.3 
36.0	  0.0137	 56.34	       2028.3 
37.0	  0.0150	 53.34	       1973.7 
38.0	  0.0166	 50.32	       1912.1 
39.0	  0.0184	 47.32	       1845.6 
40.0	  0.0204	 44.42	       1776.6 
41.0	  0.0226	 41.65	       1707.5 
42.0	  0.0250	 39.06	       1640.6 
43.0	  0.0275	 36.68	       1577.4 
44.0	  0.0300	 34.53	       1519.4 
45.0	  0.0324	 32.60	       1467.1 
46.0	  0.0347	 30.89	       1420.8 
47.0	  0.0368	 29.37	       1380.3 
48.0	  0.0387	 28.03	       1345.3 
49.0	  0.0404	 26.84	       1315.0 
50.0	  0.0418	 25.78	       1289.0 
51.0	  0.0430	 24.83	       1266.4 
52.0	  0.0440	 23.98	       1246.8 
53.0	  0.0448	 23.20	       1229.5 
54.0	  0.0455	 22.48	       1214.1 
55.0	  0.0460	 21.82	       1200.3 
56.0	  0.0464	 21.21	       1187.5 
57.0	  0.0468	 20.63	       1175.7 
58.0	  0.0470	 20.08	       1164.5 
59.0	  0.0472	 19.56	       1153.9 
60.0	  0.0474	 19.06	       1143.6 
61.0	  0.0475	 18.58	       1133.6 
62.0	  0.0476	 18.13	       1123.8 
63.0	  0.0477	 17.68	       1114.0 
64.0	  0.0478	 17.26	       1104.4 
65.0	  0.0478	 16.84	       1094.8 
66.0	  0.0479	 16.44	       1085.1 
67.0	  0.0479	 16.05	       1075.5 
68.0	  0.0479	 15.67	       1065.8 
69.0	  0.0479	 15.31	       1056.1 
70.0	  0.0480	 14.95	       1046.3 
