# rho	    A	        veq	       Qeq	  
0.0	  0.0080	 120.00	       0.0 
0.9	  0.0080	 119.97	       112.5 
1.9	  0.0080	 119.88	       224.8 
2.8	  0.0080	 119.74	       336.8 
3.8	  0.0080	 119.53	       448.2 
4.7	  0.0080	 119.26	       559.0 
5.6	  0.0080	 118.92	       669.0 
6.6	  0.0080	 118.53	       777.8 
7.5	  0.0080	 118.07	       885.5 
8.4	  0.0080	 117.54	       991.8 
9.4	  0.0080	 116.96	       1096.5 
10.3	  0.0080	 116.31	       1199.4 
11.2	  0.0080	 115.60	       1300.5 
12.2	  0.0080	 114.83	       1399.5 
13.1	  0.0080	 114.00	       1496.3 
14.1	  0.0080	 113.12	       1590.8 
15.0	  0.0080	 112.19	       1682.8 
15.9	  0.0081	 111.20	       1772.2 
16.9	  0.0081	 110.16	       1858.9 
17.8	  0.0081	 109.07	       1942.8 
18.8	  0.0081	 107.93	       2023.7 
19.7	  0.0082	 106.74	       2101.5 
20.6	  0.0082	 105.50	       2176.0 
21.6	  0.0083	 104.21	       2247.0 
22.5	  0.0083	 102.85	       2314.2 
23.4	  0.0084	 101.43	       2377.4 
24.4	  0.0085	 99.94	       2436.0 
25.3	  0.0087	 98.36	       2489.7 
26.3	  0.0089	 96.67	       2537.7 
27.2	  0.0091	 94.87	       2579.2 
28.1	  0.0094	 92.92	       2613.4 
29.1	  0.0098	 90.81	       2639.1 
30.0	  0.0103	 88.50	       2655.1 
30.9	  0.0109	 85.99	       2660.4 
31.9	  0.0116	 83.26	       2653.9 
32.8	  0.0126	 80.30	       2635.0 
33.7	  0.0137	 77.14	       2603.4 
34.7	  0.0150	 73.79	       2559.7 
35.6	  0.0166	 70.32	       2505.2 
36.6	  0.0184	 66.79	       2442.1 
37.5	  0.0204	 63.28	       2372.8 
38.4	  0.0226	 59.85	       2300.4 
39.4	  0.0250	 56.58	       2227.8 
40.3	  0.0275	 53.51	       2157.3 
41.2	  0.0300	 50.69	       2091.1 
42.2	  0.0324	 48.13	       2030.3 
43.1	  0.0347	 45.82	       1975.8 
44.1	  0.0368	 43.75	       1927.7 
45.0	  0.0387	 41.90	       1885.7 
45.9	  0.0404	 40.26	       1849.3 
46.9	  0.0418	 38.78	       1817.8 
47.8	  0.0430	 37.45	       1790.6 
48.8	  0.0440	 36.24	       1766.8 
49.7	  0.0448	 35.14	       1745.9 
50.6	  0.0455	 34.12	       1727.3 
51.6	  0.0460	 33.17	       1710.5 
52.5	  0.0464	 32.29	       1695.0 
53.4	  0.0468	 31.45	       1680.7 
54.4	  0.0470	 30.66	       1667.0 
55.3	  0.0472	 29.90	       1654.0 
56.2	  0.0474	 29.18	       1641.3 
57.2	  0.0475	 28.48	       1628.9 
58.1	  0.0476	 27.81	       1616.6 
59.1	  0.0477	 27.16	       1604.4 
60.0	  0.0478	 26.54	       1592.2 
60.9	  0.0478	 25.93	       1579.9 
61.9	  0.0479	 25.34	       1567.6 
62.8	  0.0479	 24.76	       1555.2 
63.8	  0.0479	 24.20	       1542.6 
64.7	  0.0479	 23.65	       1529.9 
65.6	  0.0480	 23.12	       1517.0 
66.6	  0.0480	 22.60	       1504.0 
67.5	  0.0480	 22.09	       1490.9 
68.4	  0.0480	 21.59	       1477.6 
69.4	  0.0480	 21.10	       1464.1 
70.3	  0.0480	 20.63	       1450.5 
